time_s,row,col,cx_m,cy_m,elevation_deg,in_footprint,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
0.200000,1,2,0.000,-28284.271,53.9587,1,180.0243,46.0457,6.8634,-5.5691
0.200000,1,3,28284.271,-28284.271,53.9587,1,179.9064,45.7460,6.6816,-5.0754
0.200000,1,4,56568.542,-28284.271,53.9587,1,179.7986,43.1686,4.2119,-6.8038
0.200000,2,0,-56568.542,0.000,53.9587,1,180.4689,47.5532,7.9262,-6.1852
0.200000,2,1,-28284.271,0.000,53.9587,1,180.3372,47.6513,8.1561,-6.8927
0.200000,2,2,0.000,0.000,53.9587,1,180.2139,47.7125,8.3405,-7.0492
0.200000,2,3,28284.271,0.000,53.9587,1,180.0598,47.5846,8.3668,-6.8766
0.200000,2,4,56568.542,0.000,53.9587,1,179.9556,47.0022,7.8886,-6.5023
0.200000,3,0,-56568.542,28284.271,53.9587,1,180.6175,44.2460,4.4705,-6.6351
0.200000,3,1,-28284.271,28284.271,53.9587,1,180.4900,45.8977,6.2497,-5.4358
0.200000,3,2,0.000,28284.271,53.9587,1,180.3707,46.0643,6.5356,-5.6760
0.200000,3,3,28284.271,28284.271,53.9587,1,180.2604,45.5733,6.1549,-5.9131
0.200000,3,4,56568.542,28284.271,53.9587,1,180.1598,44.7094,5.3916,-5.6383
0.200000,4,0,-56568.542,56568.542,53.9587,1,180.7724,36.1928,-3.7376,-7.0551
0.200000,4,1,-28284.271,56568.542,53.9587,1,180.6491,37.5210,-2.2861,-6.7883
0.200000,4,2,0.000,56568.542,53.9587,1,180.5338,39.0807,-0.6111,-5.3229
0.200000,4,3,28284.271,56568.542,53.9587,1,180.4273,38.0513,-1.5340,-6.3628
0.200000,4,4,56568.542,56568.542,53.9587,1,180.3303,36.2026,-3.2857,-7.8449
0.300000,0,0,-56568.542,-56568.542,53.9965,1,180.1907,35.2489,-4.0999,-8.7185
0.300000,0,1,-28284.271,-56568.542,53.9965,1,180.0107,36.4022,-2.7666,-7.2063
0.300000,0,2,0.000,-56568.542,53.9965,1,179.8794,37.7608,-1.2767,-5.3272
0.300000,0,3,28284.271,-56568.542,53.9965,1,179.7577,34.6268,-4.2890,-8.3707
0.300000,0,4,56568.542,-56568.542,53.9965,1,179.6464,32.2419,-6.5626,-9.6338
0.300000,1,0,-56568.542,-28284.271,53.9965,1,180.3241,45.5669,6.0847,-5.2947
0.300000,1,1,-28284.271,-28284.271,53.9965,1,180.1882,45.2323,5.8861,-6.6906
0.300000,1,2,0.000,-28284.271,53.9965,1,180.0208,46.0514,6.8726,-5.5508
0.300000,1,3,28284.271,-28284.271,53.9965,1,179.9028,45.7519,6.6911,-5.0508
0.300000,1,4,56568.542,-28284.271,53.9965,1,179.7949,43.1679,4.2149,-6.7848
0.300000,2,0,-56568.542,0.000,53.9965,1,180.4654,47.5530,7.9296,-6.1816
0.300000,2,1,-28284.271,0.000,53.9965,1,180.3336,47.6513,8.1597,-6.8881
0.300000,2,2,0.000,0.000,53.9965,1,180.2102,47.7125,8.3443,-7.0438
0.300000,2,3,28284.271,0.000,53.9965,1,180.0559,47.5845,8.3705,-6.8726
0.300000,2,4,56568.542,0.000,53.9965,1,179.9517,47.0014,7.8916,-6.4996
0.300000,3,0,-56568.542,28284.271,53.9965,1,180.6138,44.2390,4.4672,-6.6255
0.300000,3,1,-28284.271,28284.271,53.9965,1,180.4862,45.9014,6.2572,-5.4154
0.300000,3,2,0.000,28284.271,53.9965,1,180.3668,46.0692,6.5444,-5.6591
0.300000,3,3,28284.271,28284.271,53.9965,1,180.2564,45.5763,6.1619,-5.9018
0.300000,3,4,56568.542,28284.271,53.9965,1,180.1557,44.7098,5.3960,-5.6301
0.300000,4,0,-56568.542,56568.542,53.9965,1,180.7685,36.1761,-3.7505,-7.0601
0.300000,4,1,-28284.271,56568.542,53.9965,1,180.6451,37.5159,-2.2872,-6.7825
0.300000,4,2,0.000,56568.542,53.9965,1,180.5297,39.0850,-0.6028,-5.3086
0.300000,4,3,28284.271,56568.542,53.9965,1,180.4232,38.0489,-1.5323,-6.3545
0.300000,4,4,56568.542,56568.542,53.9965,1,180.3261,36.1906,-3.2935,-7.8457
0.400000,0,0,-56568.542,-56568.542,54.0343,1,180.1876,35.2379,-4.1077,-8.7234
0.400000,0,1,-28284.271,-56568.542,54.0343,1,180.0075,36.4043,-2.7613,-7.1962
0.400000,0,2,0.000,-56568.542,54.0343,1,179.8762,37.7748,-1.2594,-5.3133
