cell_idx,time_s,from_sat,to_sat,snr_before_dB,snr_after_dB,snr_gain_dB
1,1110,54,13,-24.627,-24.5721,0.05489999999999995
1,1115,13,54,-24.5537,-24.3979,0.15579999999999927
1,1122,54,13,-24.5107,-24.8251,-0.3143999999999991
1,1136,13,54,-27.5935,-28.1,-0.5065000000000026
1,1139,54,13,-29.3594,-30.1149,-0.7554999999999978
1,1141,13,54,-30.9474,-30.17,0.7773999999999965
1,1143,54,13,-29.6199,-29.4,0.21990000000000265
1,1187,13,54,-27.4901,-27.0066,0.4835000000000029
1,1192,54,13,-27.7724,-28.0753,-0.3028999999999975
1,1199,13,54,-29.0172,-28.5957,0.4214999999999982
1,1246,54,13,-30.1333,-30.3327,-0.1994000000000007
1,1256,13,54,-30.1591,-29.8697,0.289399999999997
1,1304,54,13,-31.1034,-31.2321,-0.12869999999999848
1,1321,13,12,-31.7038,-32.8532,-1.1494
1,1330,12,53,-32.9861,-31.6459,1.3401999999999994
1,1411,53,12,-30.9378,-30.9708,-0.03300000000000125
1,1433,12,53,-32.0433,-31.8844,0.1589000000000027
1,1609,53,12,-25.5357,-26.5519,-1.0162000000000013
1,1615,12,53,-26.3285,-26.2852,0.04329999999999856
1,1618,53,12,-26.0194,-26.1302,-0.11079999999999757
1,1644,12,53,-31.4176,-31.5906,-0.17299999999999827
1,1646,53,12,-31.4087,-31.1419,0.2667999999999999
1,1725,12,53,-31.6416,-31.6128,0.02880000000000038
1,1737,53,12,-33.1646,-32.9715,0.19310000000000116
1,1746,12,53,-31.6406,-31.4873,0.153299999999998
1,1767,53,12,-30.1282,-30.2162,-0.08800000000000097
1,1784,12,53,-30.2159,-30.0881,0.12780000000000058
1,1830,53,12,-31.2937,-31.4541,-0.1603999999999992
1,1841,12,11,-31.694,-33.36,-1.6660000000000004
1,1865,11,53,-33.2837,-33.2473,0.03640000000000043
1,1870,53,52,-32.9176,-31.6081,1.3094999999999999
1,1962,52,11,-32.0032,-32.0836,-0.08039999999999736
1,1977,11,52,-31.9703,-31.724,0.24630000000000152
1,2146,52,11,-29.346,-29.5756,-0.22960000000000136
1,2312,11,52,-30.5818,-30.4925,0.08930000000000149
1,2351,52,11,-31.5132,-31.6007,-0.08749999999999858
1,2361,11,52,-31.7763,-33.45,-1.6737000000000037
1,2364,52,21,-33.9303,-34.0413,-0.1109999999999971
1,2390,21,52,-33.5863,-33.4893,0.09700000000000131
1,2410,52,51,-32.3812,-31.6782,0.7029999999999994
1,2514,51,21,-33.1703,-33.3719,-0.2015999999999991
1,2521,21,51,-32.9301,-32.8217,0.10840000000000316
1,2602,51,21,-30.766,-30.9735,-0.20750000000000313
1,2606,21,51,-30.8733,-30.6462,0.22710000000000008
1,2653,51,21,-29.4849,-29.8313,-0.34639999999999915
1,2831,21,51,-30.8474,-30.7891,0.05829999999999913
1,2862,51,21,-31.5443,-31.5855,-0.0411999999999999
1,2871,21,51,-31.7644,-32.4675,-0.7031000000000027
1,2885,51,20,-34.9225,-34.9846,-0.06210000000000093
1,2907,20,51,-34.2828,-34.2502,0.03260000000000218
1,2950,51,50,-32.6735,-31.8071,0.8663999999999987
1,3181,50,20,-33.8598,-34.1025,-0.24269999999999925
1,3190,20,50,-34.6337,-34.4229,0.210799999999999
1,3237,50,20,-33.2491,-33.2264,0.022700000000000387
1,3381,20,50,-31.7951,-32.9485,-1.1534000000000013
1,3506,50,19,-33.782,-33.8159,-0.033900000000002706
1,3510,19,49,-33.8117,-31.6378,2.1739000000000033
2,6,15,45,-24.2356,-23.9747,0.260900000000003
2,7,45,15,-23.9747,-23.1771,0.7975999999999992
2,98,15,45,-27.5495,-27.094,0.45549999999999713
2,109,45,15,-26.2056,-26.9731,-0.7674999999999983
2,112,15,45,-26.6485,-25.6423,1.0061999999999998
2,126,45,15,-26.3426,-26.8225,-0.47990000000000066
2,129,15,45,-26.9855,-25.9557,1.029799999999998
2,148,45,15,-27.1562,-28.118,-0.9618000000000002
2,151,15,45,-28.372,-28.003,0.3689999999999998
2,183,45,15,-30.3343,-30.9519,-0.6175999999999995
2,184,15,45,-30.9519,-30.4046,0.5472999999999999
2,242,45,15,-30.705,-30.9362,-0.23120000000000118
2,266,15,44,-31.5864,-31.6066,-0.020199999999999108
2,295,44,14,-30.7778,-30.7123,0.06550000000000011
2,387,14,44,-27.0701,-27.4766,-0.4065000000000012
2,395,44,14,-27.2062,-26.7304,0.47579999999999956
2,410,14,44,-26.2502,-26.5919,-0.34169999999999945
2,421,44,14,-26.833,-26.8509,-0.017900000000000915
2,431,14,44,-27.8814,-27.5863,0.2950999999999979
2,779,44,14,-31.2185,-31.2897,-0.07120000000000104
2,796,14,54,-31.633,-31.6168,0.016199999999997772
2,840,54,13,-30.4212,-30.2468,0.17439999999999856
2,899,13,54,-30.7853,-31.1186,-0.33330000000000126
2,908,54,13,-29.2591,-29.0305,0.22860000000000014
2,931,13,54,-27.03,-27.0322,-0.0021999999999984254
2,959,54,13,-28.541,-29.0901,-0.5490999999999993
2,963,13,54,-29.3363,-28.8994,0.4369000000000014
2,1084,54,13,-26.8704,-28.8787,-2.0082999999999984
2,1085,13,54,-28.8787,-26.5238,2.354899999999997
2,1094,54,13,-32.8089,-34.7984,-1.9894999999999996
2,1095,13,54,-34.7984,-32.9488,1.8496000000000024
2,1116,54,13,-25.9798,-26.3353,-0.35549999999999926
2,1120,13,54,-26.6242,-26.5676,0.05659999999999954
2,1125,54,13,-26.6014,-27.8203,-1.2188999999999979
2,1131,13,54,-28.8561,-28.5561,0.3000000000000007
2,1249,54,13,-29.6398,-30.2576,-0.617799999999999
2,1250,13,54,-30.2576,-29.6904,0.5671999999999997
2,1310,54,13,-31.206,-31.478,-0.272000000000002
2,1321,13,12,-31.684,-31.7341,-0.05010000000000048
2,1330,12,53,-31.6848,-31.622,0.0627999999999993
2,1341,53,54,-31.3946,-31.3719,0.022700000000000387
2,1345,54,53,-31.3182,-31.3012,0.01699999999999946
2,1391,53,12,-30.1014,-30.0353,0.06610000000000227
2,1445,12,53,-29.9901,-29.8054,0.18470000000000297
2,1500,53,12,-29.9498,-30.5116,-0.5618000000000016
2,1503,12,53,-30.6999,-30.2768,0.42309999999999803
2,1595,53,12,-29.2098,-30.2104,-1.0005999999999986
2,1631,12,53,-32.0789,-31.8978,0.18109999999999715
2,1647,53,12,-31.6383,-31.4956,0.14270000000000138
2,1685,12,53,-27.9969,-27.7281,0.2687999999999988
2,1692,53,12,-28.298,-28.6108,-0.31280000000000285
2,1698,12,53,-29.065,-28.5131,0.5518999999999998
2,1774,53,12,-30.3392,-30.4017,-0.0625
2,1776,12,53,-30.4017,-30.3726,0.029100000000003234
2,1838,53,12,-31.489,-31.662,-0.17299999999999827
2,1841,12,11,-31.7079,-32.6003,-0.8923999999999985
2,1861,11,53,-32.0085,-31.9561,0.05239999999999867
2,1879,53,52,-31.4462,-31.4444,0.0017999999999993577
2,1948,52,11,-30.5625,-30.5124,0.05010000000000048
2,1993,11,52,-29.2166,-29.0704,0.14620000000000033
2,2123,52,11,-34.0811,-34.81,-0.728900000000003
2,2222,11,52,-32.2712,-31.7593,0.5119000000000007
2,2250,52,11,-32.7575,-33.1631,-0.40559999999999974
2,2251,11,52,-33.1631,-32.7578,0.4052999999999969
2,2290,52,11,-30.2194,-30.6253,-0.40589999999999904
2,2295,11,52,-30.6342,-30.5335,0.10069999999999979
2,2367,52,21,-33.386,-33.3879,-0.0018999999999991246
2,2381,21,52,-32.9136,-32.8715,0.04210000000000491
2,2412,52,51,-31.6319,-31.6443,-0.012399999999999523
2,2510,51,21,-32.5899,-32.6119,-0.021999999999998465
2,2537,21,51,-30.679,-30.562,0.11699999999999733
2,2598,51,21,-30.0832,-30.3739,-0.2906999999999975
2,2622,21,51,-30.4726,-30.3029,0.16969999999999885
