time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
1330.000000,0,5.5377,190.1214,17.4448,-31.8347,-31.8674
1330.000000,1,5.5377,190.1420,17.6541,-31.6459,-31.6887
1330.000000,2,5.5377,190.1639,17.7000,-31.6220,-31.6654
1330.000000,3,5.5377,190.1871,17.5783,-31.7668,-31.8013
1330.000000,4,5.5377,190.2115,16.6067,-32.7628,-32.7838
1330.000000,5,5.5377,190.2266,17.2893,-32.0954,-32.1250
1330.000000,6,5.5377,190.2467,17.6977,-31.7071,-31.7476
1330.000000,7,5.5377,190.2681,17.6596,-31.7665,-31.8098
1330.000000,8,5.5377,190.2907,17.6275,-31.8212,-31.8577
1330.000000,9,5.5377,190.3145,16.9144,-32.5581,-32.5819
1330.000000,10,5.5377,190.3306,17.0946,-32.3940,-32.4207
1330.000000,11,5.5377,190.3502,17.6959,-31.8124,-31.8505
1330.000000,12,5.5377,190.3711,17.6849,-31.8442,-31.8869
1330.000000,13,5.5377,190.3931,17.6195,-31.9317,-31.9696
1330.000000,14,5.5377,190.4164,17.1474,-32.4271,-32.4535
1330.000000,15,5.5377,190.4334,16.8629,-32.7286,-32.7523
1330.000000,16,5.5377,190.4526,17.6509,-31.9598,-31.9952
1330.000000,17,5.5377,190.4729,17.6747,-31.9563,-31.9979
1330.000000,18,5.5377,190.4945,17.6506,-32.0019,-32.0407
1330.000000,19,5.5377,190.5172,17.3127,-32.3625,-32.3913
1330.000000,20,5.5377,190.5351,16.5957,-33.0975,-33.1185
1330.000000,21,5.5377,190.5538,17.5655,-32.1463,-32.1791
1330.000000,22,5.5377,190.5737,17.6346,-32.0972,-32.1373
1330.000000,23,5.5377,190.5947,17.6701,-32.0827,-32.1219
1330.000000,24,5.5377,190.6169,17.4428,-32.3322,-32.3629
1331.000000,0,5.6140,190.0956,17.4404,-31.8133,-31.8461
1331.000000,1,5.6140,190.1163,17.6588,-31.6156,-31.6586
1331.000000,2,5.6140,190.1384,17.6991,-31.5973,-31.6409
1331.000000,3,5.6140,190.1616,17.5811,-31.7385,-31.7731
1331.000000,4,5.6140,190.1862,16.5995,-32.7447,-32.7657
1331.000000,5,5.6140,190.2011,17.2845,-32.0746,-32.1043
1331.000000,6,5.6140,190.2213,17.6981,-31.6813,-31.7220
1331.000000,7,5.6140,190.2428,17.6604,-31.7405,-31.7840
1331.000000,8,5.6140,190.2655,17.6330,-31.7906,-31.8271
1331.000000,9,5.6140,190.2895,16.9123,-32.5352,-32.5591
1331.000000,10,5.6140,190.3054,17.0890,-32.3745,-32.4012
1331.000000,11,5.6140,190.3251,17.6970,-31.7862,-31.8244
1331.000000,12,5.6140,190.3461,17.6814,-31.8228,-31.8657
1331.000000,13,5.6140,190.3683,17.6268,-31.8995,-31.9375
1331.000000,14,5.6140,190.3917,17.1492,-32.4005,-32.4270
1331.000000,15,5.6140,190.4085,16.8557,-32.7109,-32.7346
1331.000000,16,5.6140,190.4278,17.6521,-31.9338,-31.9694
1331.000000,17,5.6140,190.4482,17.6723,-31.9340,-31.9758
1331.000000,18,5.6140,190.4699,17.6531,-31.9749,-32.0139
1331.000000,19,5.6140,190.4927,17.3176,-32.3332,-32.3620
1331.000000,20,5.6140,190.5105,16.5864,-33.0821,-33.1031
1331.000000,21,5.6140,190.5293,17.5662,-32.1211,-32.1540
1331.000000,22,5.6140,190.5493,17.6295,-32.0778,-32.1182
1331.000000,23,5.6140,190.5704,17.6738,-32.0547,-32.0941
1331.000000,24,5.6140,190.5927,17.4352,-32.3156,-32.3465
1332.000000,0,5.6905,190.0697,17.4356,-31.7922,-31.8251
1332.000000,1,5.6905,190.0906,17.6631,-31.5856,-31.6287
1332.000000,2,5.6905,190.1127,17.6977,-31.5730,-31.6168
1332.000000,3,5.6905,190.1361,17.5836,-31.7106,-31.7452
1332.000000,4,5.6905,190.1608,16.5918,-32.7271,-32.7481
1332.000000,5,5.6905,190.1755,17.2794,-32.0541,-32.0839
1332.000000,6,5.6905,190.1959,17.6982,-31.6557,-31.6966
1332.000000,7,5.6905,190.2175,17.6607,-31.7148,-31.7585
1332.000000,8,5.6905,190.2403,17.6382,-31.7601,-31.7968
1332.000000,9,5.6905,190.2644,16.9098,-32.5127,-32.5365
1332.000000,10,5.6905,190.2801,17.0829,-32.3552,-32.3820
