time_s,cell_idx,snr_mrc_dB,n_sats
7.000000,10,-28.2941,2
7.000000,11,-17.8849,2
7.000000,12,-16.9786,2
7.000000,13,-22.5482,2
7.000000,14,-29.1446,2
7.000000,15,-25.9363,2
7.000000,16,-19.5924,2
7.000000,17,-17.3819,2
7.000000,18,-19.7852,2
7.000000,19,-25.3793,2
7.000000,20,-20.0497,2
7.000000,21,-22.6039,2
7.000000,22,-20.3803,2
7.000000,23,-20.1436,2
7.000000,24,-23.4884,2
8.000000,0,-23.6693,2
8.000000,1,-22.1701,2
8.000000,2,-19.9114,2
8.000000,3,-19.6510,2
8.000000,4,-17.7869,2
8.000000,5,-27.0870,2
8.000000,6,-19.0360,2
8.000000,7,-16.7809,2
8.000000,8,-17.3333,2
8.000000,9,-21.2702,2
8.000000,10,-27.4501,2
8.000000,11,-18.3291,2
8.000000,12,-18.1861,2
8.000000,13,-20.1158,2
8.000000,14,-27.6318,2
8.000000,15,-26.2106,2
8.000000,16,-18.8532,2
8.000000,17,-17.0070,2
8.000000,18,-19.9779,2
8.000000,19,-25.3921,2
8.000000,20,-20.2031,2
8.000000,21,-24.2108,2
8.000000,22,-20.3884,2
8.000000,23,-20.3622,2
8.000000,24,-24.6760,2
9.000000,0,-26.0419,2
9.000000,1,-20.0648,2
9.000000,2,-19.6758,2
9.000000,3,-21.6924,2
9.000000,4,-16.6633,2
9.000000,5,-26.3534,2
9.000000,6,-19.0766,2
9.000000,7,-16.5660,2
9.000000,8,-17.3703,2
9.000000,9,-22.3741,2
9.000000,10,-26.8495,2
9.000000,11,-18.8755,2
9.000000,12,-19.5145,2
9.000000,13,-18.6678,2
9.000000,14,-26.8447,2
9.000000,15,-24.2452,2
9.000000,16,-18.5830,2
9.000000,17,-17.0771,2
9.000000,18,-20.1550,2
9.000000,19,-25.7757,2
9.000000,20,-20.6306,2
9.000000,21,-23.8144,2
9.000000,22,-20.6246,2
9.000000,23,-21.0002,2
9.000000,24,-26.4300,2
10.000000,0,-26.1316,2
10.000000,1,-19.0007,2
10.000000,2,-19.4258,2
10.000000,3,-22.3176,2
10.000000,4,-16.3303,2
10.000000,5,-25.6104,2
10.000000,6,-19.3743,2
10.000000,7,-16.5100,2
10.000000,8,-17.4966,2
10.000000,9,-24.5800,2
10.000000,10,-26.5600,2
10.000000,11,-19.4619,2
10.000000,12,-19.4235,2
10.000000,13,-17.9129,2
10.000000,14,-26.7422,2
10.000000,15,-22.7488,2
10.000000,16,-18.4028,2
10.000000,17,-17.2749,2
10.000000,18,-20.4334,2
10.000000,19,-26.1826,2
10.000000,20,-21.3587,2
10.000000,21,-22.0280,2
10.000000,22,-20.8925,2
10.000000,23,-22.0886,2
10.000000,24,-29.0770,2
11.000000,0,-24.0221,2
11.000000,1,-18.7194,2
11.000000,2,-19.4179,2
11.000000,3,-20.2288,2
11.000000,4,-16.2843,2
11.000000,5,-25.5723,2
11.000000,6,-19.6494,2
11.000000,7,-16.7033,2
11.000000,8,-17.5772,2
11.000000,9,-22.1723,2
11.000000,10,-26.5884,2
11.000000,11,-20.0375,2
11.000000,12,-17.6391,2
11.000000,13,-17.5035,2
11.000000,14,-27.3453,2
11.000000,15,-21.7633,2
11.000000,16,-18.2777,2
11.000000,17,-17.6208,2
11.000000,18,-20.4468,2
11.000000,19,-26.7324,2
11.000000,20,-22.4669,2
11.000000,21,-20.8848,2
11.000000,22,-21.1848,2
11.000000,23,-23.6882,2
11.000000,24,-27.3073,2
12.000000,0,-23.0095,2
12.000000,1,-18.7808,2
12.000000,2,-19.8921,2
12.000000,3,-19.1195,2
12.000000,4,-16.3242,2
12.000000,5,-26.1976,2
12.000000,6,-19.9589,2
12.000000,7,-17.3466,2
12.000000,8,-18.0763,2
12.000000,9,-19.7014,2
12.000000,10,-26.9935,2
