time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
3430.000000,0,5.4033,193.3441,16.0722,-36.4299,-36.4378
3430.000000,1,5.4033,193.4975,17.2462,-35.4094,-35.4223
3430.000000,2,5.4033,193.6607,17.6773,-35.1414,-35.1585
3430.000000,3,5.4033,193.8348,17.6798,-35.3130,-35.3320
3430.000000,4,5.4033,194.0213,17.6950,-35.4843,-35.5025
3430.000000,5,5.4033,193.1279,16.9866,-35.2994,-35.3117
3430.000000,6,5.4033,193.2754,17.6367,-34.7968,-34.8141
3430.000000,7,5.4033,193.4317,17.6994,-34.8903,-34.9106
3430.000000,8,5.4033,193.5978,17.6822,-35.0736,-35.0939
3430.000000,9,5.4033,193.7749,17.6971,-35.2359,-35.2533
3430.000000,10,5.4033,192.9239,17.5279,-34.5541,-34.5712
3430.000000,11,5.4033,193.0665,17.6731,-34.5515,-34.5728
3430.000000,12,5.4033,193.2170,17.7019,-34.6731,-34.6954
3430.000000,13,5.4033,193.3764,17.6590,-34.8754,-34.8953
3430.000000,14,5.4033,193.5458,17.5403,-35.1635,-35.1787
3430.000000,15,5.4033,192.7306,17.7023,-34.1863,-34.2081
3430.000000,16,5.4033,192.8690,17.6674,-34.3596,-34.3836
3430.000000,17,5.4033,193.0147,17.6794,-34.4934,-34.5157
3430.000000,18,5.4033,193.1685,17.6043,-34.7223,-34.7400
3430.000000,19,5.4033,193.3313,16.9816,-35.5077,-35.5196
3430.000000,20,5.4033,192.5463,17.6808,-34.0236,-34.0488
3430.000000,21,5.4033,192.6813,17.6487,-34.1906,-34.2152
3430.000000,22,5.4033,192.8230,17.6252,-34.3558,-34.3761
3430.000000,23,5.4033,192.9721,17.1486,-34.9815,-34.9957
3430.000000,24,5.4033,193.1294,15.9638,-36.3236,-36.3318
3431.000000,0,5.4570,193.2978,16.0591,-36.3967,-36.4047
3431.000000,1,5.4570,193.4501,17.2407,-35.3674,-35.3804
3431.000000,2,5.4570,193.6119,17.6778,-35.0922,-35.1094
3431.000000,3,5.4570,193.7844,17.6820,-35.2605,-35.2797
3431.000000,4,5.4570,193.9690,17.6947,-35.4324,-35.4507
3431.000000,5,5.4570,193.0841,16.9818,-35.2603,-35.2727
3431.000000,6,5.4570,193.2307,17.6361,-34.7526,-34.7701
3431.000000,7,5.4570,193.3858,17.6998,-34.8441,-34.8646
3431.000000,8,5.4570,193.5506,17.6831,-35.0256,-35.0461
3431.000000,9,5.4570,193.7262,17.6954,-35.1889,-35.2065
3431.000000,10,5.4570,192.8824,17.5272,-34.5132,-34.5305
3431.000000,11,5.4570,193.0241,17.6735,-34.5086,-34.5301
3431.000000,12,5.4570,193.1737,17.7011,-34.6307,-34.6532
3431.000000,13,5.4570,193.3320,17.6573,-34.8327,-34.8528
3431.000000,14,5.4570,193.5001,17.5373,-35.1208,-35.1362
3431.000000,15,5.4570,192.6909,17.7016,-34.1473,-34.1693
3431.000000,16,5.4570,192.8286,17.6657,-34.3210,-34.3452
3431.000000,17,5.4570,192.9736,17.6759,-34.4557,-34.4782
3431.000000,18,5.4570,193.1264,17.5985,-34.6860,-34.7038
3431.000000,19,5.4570,193.2882,16.9732,-35.4730,-35.4850
3431.000000,20,5.4570,192.5083,17.6777,-33.9886,-34.0141
3431.000000,21,5.4570,192.6427,17.6443,-34.1564,-34.1812
3431.000000,22,5.4570,192.7838,17.6174,-34.3244,-34.3448
3431.000000,23,5.4570,192.9321,17.1357,-34.9544,-34.9686
3431.000000,24,5.4570,193.0885,15.9450,-36.3016,-36.3098
3432.000000,0,5.5106,193.2521,16.0458,-36.3643,-36.3723
3432.000000,1,5.5106,193.4033,17.2351,-35.3262,-35.3393
3432.000000,2,5.5106,193.5638,17.6781,-35.0437,-35.0610
3432.000000,3,5.5106,193.7347,17.6840,-35.2087,-35.2282
3432.000000,4,5.5106,193.9176,17.6943,-35.3814,-35.4000
3432.000000,5,5.5106,193.0408,16.9770,-35.2218,-35.2343
3432.000000,6,5.5106,193.1865,17.6354,-34.7091,-34.7268
3432.000000,7,5.5106,193.3406,17.7001,-34.7985,-34.8193
3432.000000,8,5.5106,193.5041,17.6838,-34.9783,-34.9991
3432.000000,9,5.5106,193.6782,17.6934,-35.1428,-35.1606
3432.000000,10,5.5106,192.8412,17.5265,-34.4727,-34.4902
3432.000000,11,5.5106,192.9822,17.6739,-34.4663,-34.4880
3432.000000,12,5.5106,193.1309,17.7000,-34.5889,-34.6116
3432.000000,13,5.5106,193.2881,17.6554,-34.7907,-34.8111
3432.000000,14,5.5106,193.4550,17.5341,-35.0789,-35.0944
