time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
260.000000,0,5.3633,190.2245,16.9313,-32.4513,-32.4771
260.000000,1,5.3633,190.2207,17.6378,-31.7410,-31.7794
260.000000,2,5.3633,190.2183,17.6579,-31.7184,-31.7624
260.000000,3,5.3633,190.2173,17.6596,-31.7157,-31.7547
260.000000,4,5.3633,190.2176,17.0233,-32.3524,-32.3791
260.000000,5,5.3633,190.3302,17.0052,-32.4831,-32.5089
260.000000,6,5.3633,190.3265,17.6634,-31.8212,-31.8591
260.000000,7,5.3633,190.3241,17.6777,-31.8045,-31.8476
260.000000,8,5.3633,190.3231,17.6776,-31.8035,-31.8418
260.000000,9,5.3633,190.3234,17.0532,-32.4283,-32.4546
260.000000,10,5.3633,190.4346,17.0701,-32.5226,-32.5484
260.000000,11,5.3633,190.4310,17.6823,-31.9067,-31.9441
260.000000,12,5.3633,190.4287,17.6915,-31.8952,-31.9374
260.000000,13,5.3633,190.4277,17.6900,-31.8957,-31.9331
260.000000,14,5.3633,190.4280,17.0772,-32.5089,-32.5347
260.000000,15,5.3633,190.5378,17.1267,-32.5692,-32.5950
260.000000,16,5.3633,190.5343,17.6951,-31.9972,-32.0340
260.000000,17,5.3633,190.5321,17.7000,-31.9901,-32.0314
260.000000,18,5.3633,190.5311,17.6973,-31.9918,-32.0284
260.000000,19,5.3633,190.5314,17.0956,-32.5938,-32.6192
260.000000,20,5.3633,190.6398,17.1756,-32.6223,-32.6480
260.000000,21,5.3633,190.6364,17.7022,-32.0922,-32.1284
260.000000,22,5.3633,190.6342,17.7033,-32.0889,-32.1292
260.000000,23,5.3633,190.6332,17.6998,-32.0915,-32.1272
260.000000,24,5.3633,190.6335,17.1089,-32.6827,-32.7076
261.000000,0,5.4401,190.1987,16.9162,-32.4405,-32.4664
261.000000,1,5.4401,190.1949,17.6306,-31.7224,-31.7610
261.000000,2,5.4401,190.1925,17.6519,-31.6987,-31.7428
261.000000,3,5.4401,190.1915,17.6536,-31.6959,-31.7351
261.000000,4,5.4401,190.1918,17.0100,-32.3398,-32.3665
261.000000,5,5.4401,190.3047,16.9926,-32.4702,-32.4961
261.000000,6,5.4401,190.3010,17.6581,-31.8010,-31.8390
261.000000,7,5.4401,190.2986,17.6734,-31.7833,-31.8266
261.000000,8,5.4401,190.2976,17.6733,-31.7823,-31.8207
261.000000,9,5.4401,190.2979,17.0419,-32.4141,-32.4404
261.000000,10,5.4401,190.4095,17.0596,-32.5078,-32.5337
261.000000,11,5.4401,190.4058,17.6787,-31.8852,-31.9227
261.000000,12,5.4401,190.4035,17.6887,-31.8728,-31.9152
261.000000,13,5.4401,190.4025,17.6872,-31.8734,-31.9109
261.000000,14,5.4401,190.4028,17.0675,-32.4934,-32.5193
261.000000,15,5.4401,190.5130,17.1182,-32.5528,-32.5787
261.000000,16,5.4401,190.5094,17.6929,-31.9745,-32.0115
261.000000,17,5.4401,190.5072,17.6984,-31.9668,-32.0082
261.000000,18,5.4401,190.5062,17.6957,-31.9685,-32.0052
261.000000,19,5.4401,190.5065,17.0873,-32.5772,-32.6027
261.000000,20,5.4401,190.6153,17.1687,-32.6046,-32.6304
261.000000,21,5.4401,190.6118,17.7012,-32.0686,-32.1050
261.000000,22,5.4401,190.6096,17.7029,-32.0647,-32.1053
261.000000,23,5.4401,190.6086,17.6993,-32.0674,-32.1033
261.000000,24,5.4401,190.6089,17.1018,-32.6651,-32.6901
262.000000,0,5.5172,190.1729,16.9006,-32.4303,-32.4562
262.000000,1,5.5172,190.1691,17.6228,-31.7043,-31.7430
262.000000,2,5.5172,190.1666,17.6453,-31.6793,-31.7237
262.000000,3,5.5172,190.1656,17.6471,-31.6765,-31.7159
262.000000,4,5.5172,190.1659,16.9962,-32.3277,-32.3545
262.000000,5,5.5172,190.2792,16.9794,-32.4578,-32.4837
262.000000,6,5.5172,190.2754,17.6524,-31.7811,-31.8194
262.000000,7,5.5172,190.2731,17.6686,-31.7625,-31.8060
262.000000,8,5.5172,190.2720,17.6686,-31.7615,-31.8000
262.000000,9,5.5172,190.2723,17.0300,-32.4004,-32.4268
262.000000,10,5.5172,190.3842,17.0488,-32.4935,-32.5194
262.000000,11,5.5172,190.3806,17.6747,-31.8639,-31.9016
262.000000,12,5.5172,190.3782,17.6856,-31.8507,-31.8933
262.000000,13,5.5172,190.3772,17.6840,-31.8513,-31.8890
262.000000,14,5.5172,190.3775,17.0573,-32.4782,-32.5042
262.000000,15,5.5172,190.4880,17.1092,-32.5368,-32.5627
262.000000,16,5.5172,190.4845,17.6904,-31.9520,-31.9892
262.000000,17,5.5172,190.4822,17.6966,-31.9436,-31.9853
262.000000,18,5.5172,190.4812,17.6939,-31.9454,-31.9823
262.000000,19,5.5172,190.4815,17.0787,-32.5609,-32.5864
262.000000,20,5.5172,190.5906,17.1615,-32.5872,-32.6130
262.000000,21,5.5172,190.5871,17.7000,-32.0451,-32.0817
262.000000,22,5.5172,190.5849,17.7023,-32.0407,-32.0815
262.000000,23,5.5172,190.5840,17.6985,-32.0435,-32.0795
262.000000,24,5.5172,190.5843,17.0945,-32.6478,-32.6729
263.000000,0,5.5946,190.1470,16.8843,-32.4207,-32.4466
263.000000,1,5.5946,190.1431,17.6145,-31.6866,-31.7255
263.000000,2,5.5946,190.1406,17.6382,-31.6604,-31.7050
263.000000,3,5.5946,190.1396,17.6401,-31.6575,-31.6971
263.000000,4,5.5946,190.1399,16.9818,-32.3162,-32.3430
263.000000,5,5.5946,190.2536,16.9658,-32.4458,-32.4718
263.000000,6,5.5946,190.2498,17.6462,-31.7617,-31.8001
263.000000,7,5.5946,190.2474,17.6635,-31.7420,-31.7857
263.000000,8,5.5946,190.2464,17.6634,-31.7410,-31.7797
263.000000,9,5.5946,190.2467,17.0176,-32.3871,-32.4135
263.000000,10,5.5946,190.3589,17.0374,-32.4795,-32.5055
263.000000,11,5.5946,190.3552,17.6703,-31.8429,-31.8808
263.000000,12,5.5946,190.3529,17.6821,-31.8289,-31.8717
263.000000,13,5.5946,190.3519,17.6805,-31.8294,-31.8673
263.000000,14,5.5946,190.3522,17.0468,-32.4635,-32.4895
263.000000,15,5.5946,190.4630,17.0999,-32.5211,-32.5471
263.000000,16,5.5946,190.4594,17.6876,-31.9298,-31.9672
263.000000,17,5.5946,190.4571,17.6945,-31.9206,-31.9625
263.000000,18,5.5946,190.4562,17.6917,-31.9225,-31.9596
263.000000,19,5.5946,190.4565,17.0697,-32.5448,-32.5704
263.000000,20,5.5946,190.5659,17.1540,-32.5699,-32.5959
263.000000,21,5.5946,190.5624,17.6986,-32.0219,-32.0586
263.000000,22,5.5946,190.5602,17.7014,-32.0168,-32.0578
263.000000,23,5.5946,190.5592,17.6975,-32.0197,-32.0559
263.000000,24,5.5946,190.5595,17.0868,-32.6307,-32.6559
264.000000,0,5.6722,190.1209,16.8673,-32.4116,-32.4376
264.000000,1,5.6722,190.1171,17.6057,-31.6694,-31.7084
264.000000,2,5.6722,190.1146,17.6306,-31.6420,-31.6868
264.000000,3,5.6722,190.1135,17.6325,-31.6391,-31.6787
264.000000,4,5.6722,190.1139,16.9667,-32.3052,-32.3320
264.000000,5,5.6722,190.2279,16.9516,-32.4343,-32.4604
264.000000,6,5.6722,190.2241,17.6395,-31.7426,-31.7812
264.000000,7,5.6722,190.2217,17.6579,-31.7219,-31.7658
264.000000,8,5.6722,190.2206,17.6578,-31.7209,-31.7597
264.000000,9,5.6722,190.2210,17.0047,-32.3743,-32.4007
264.000000,10,5.6722,190.3335,17.0256,-32.4659,-32.4920
264.000000,11,5.6722,190.3298,17.6656,-31.8223,-31.8603
264.000000,12,5.6722,190.3275,17.6782,-31.8073,-31.8504
264.000000,13,5.6722,190.3265,17.6766,-31.8079,-31.8460
264.000000,14,5.6722,190.3268,17.0357,-32.4491,-32.4752
264.000000,15,5.6722,190.4379,17.0903,-32.5057,-32.5318
264.000000,16,5.6722,190.4343,17.6845,-31.9078,-31.9454
264.000000,17,5.6722,190.4320,17.6922,-31.8979,-31.9400
264.000000,18,5.6722,190.4310,17.6892,-31.8998,-31.9371
264.000000,19,5.6722,190.4313,17.0603,-32.5291,-32.5548
264.000000,20,5.6722,190.5411,17.1461,-32.5530,-32.5790
264.000000,21,5.6722,190.5376,17.6969,-31.9988,-32.0357
264.000000,22,5.6722,190.5353,17.7002,-31.9932,-32.0344
264.000000,23,5.6722,190.5344,17.6963,-31.9961,-32.0325
264.000000,24,5.6722,190.5347,17.0788,-32.6139,-32.6391
265.000000,0,5.7501,190.0949,16.8608,-32.3921,-32.4181
265.000000,1,5.7501,190.0910,17.5963,-31.6527,-31.6919
265.000000,2,5.7501,190.0885,17.6225,-31.6240,-31.6690
265.000000,3,5.7501,190.0874,17.6244,-31.6211,-31.6609
265.000000,4,5.7501,190.0877,16.9510,-32.2948,-32.3217
265.000000,5,5.7501,190.2021,16.9367,-32.4234,-32.4494
265.000000,6,5.7501,190.1983,17.6323,-31.7240,-31.7627
265.000000,7,5.7501,190.1959,17.6518,-31.7021,-31.7463
265.000000,8,5.7501,190.1948,17.6517,-31.7011,-31.7402
265.000000,9,5.7501,190.1951,16.9912,-32.3619,-32.3885
265.000000,10,5.7501,190.3081,17.0133,-32.4528,-32.4789
265.000000,11,5.7501,190.3044,17.6604,-31.8020,-31.8402
265.000000,12,5.7501,190.3020,17.6739,-31.7861,-31.8294
265.000000,13,5.7501,190.3010,17.6722,-31.7868,-31.8250
265.000000,14,5.7501,190.3013,17.0242,-32.4351,-32.4612
265.000000,15,5.7501,190.4128,17.0801,-32.4907,-32.5168
265.000000,16,5.7501,190.4091,17.6810,-31.8862,-31.9238
265.000000,17,5.7501,190.4068,17.6894,-31.8754,-31.9178
265.000000,18,5.7501,190.4058,17.6864,-31.8774,-31.9148
265.000000,19,5.7501,190.4061,17.0504,-32.5137,-32.5394
265.000000,20,5.7501,190.5163,17.1379,-32.5363,-32.5624
265.000000,21,5.7501,190.5127,17.6948,-31.9759,-32.0130
265.000000,22,5.7501,190.5105,17.6988,-31.9697,-32.0111
265.000000,23,5.7501,190.5095,17.6948,-31.9727,-32.0093
