H|         124| |00 01 37.02|+61 13 22.1| 5.58| |H|000.40424537|+61.22280406| |   0.86|   -2.80|   -1.34|  0.39|  0.43|  0.56|  0.48|  0.48|-0.14| 0.06| 0.12| 0.17|-0.05|-0.07|-0.01|-0.08| 0.27|-0.11|  0| 0.31|   124| 6.049|0.003| 5.618|0.002| | 0.407|0.003|T|0.47|0.00|L| | 5.6725|0.0006|0.005|145| | 5.66| 5.68|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224893|B+60 2657 |          |          |0.47|F0III       |X 
H|         128| |00 01 39.30|+73 36 42.8| 6.50| |H|000.41376473|+73.61187664| |  15.20|   75.54|  -12.36|  0.50|  0.52|  0.63|  0.56|  0.49|-0.12|-0.07| 0.37|-0.24| 0.09| 0.28| 0.01|-0.16|-0.05|-0.25|  0| 0.09|   128| 6.740|0.004| 6.521|0.004| | 0.182|0.002|G|0.20|0.00|H| | 6.5638|0.0009|0.008|119| | 6.55| 6.58|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224890|B+72 1135 |          |          |0.20|Am...       |X 
H|         136| |00 01 42.87|+24 15 11.5| 6.60| |H|000.42864226|+24.25318080| |   5.84|   18.50|  -28.01|  0.65|  0.49|  0.78|  0.71|  0.47| 0.24| 0.17| 0.16| 0.22| 0.04| 0.02| 0.07|-0.15| 0.12| 0.26|  0| 0.10|   136| 8.085|0.011| 6.724|0.004| | 1.153|0.009|T|1.12|0.01|L| | 6.7635|0.0010|0.008| 92| | 6.75| 6.78|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224907|B+23 4844 |          |          |1.09|K2III-IV    |X 
H|         137| |00 01 43.85|+42 22 01.7| 6.25| |H|000.43268925|+42.36714821| |   2.45|    5.11|   -1.77|  0.41|  0.42|  0.69|  0.48|  0.41| 0.05| 0.10| 0.34| 0.05|-0.06|-0.02|-0.03| 0.21| 0.16|-0.06|  1| 1.61|   137| 6.187|0.003| 6.238|0.004| |-0.042|0.005|T|-.02|0.01|L| | 6.2437|0.0007|0.007|153| | 6.23| 6.26|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224906|B+41 4920 |          |          |-.01|B9IIIp Mn   |G 
H|         145| |00 01 49.44|-03 01 38.9| 5.13| |H|000.45598912|-03.02747891| |   7.98|   18.90|  -10.25|  0.74|  0.42|  0.71|  0.81|  0.41| 0.17| 0.07| 0.02|-0.43| 0.05| 0.07| 0.03|-0.26| 0.11| 0.18|  0| 3.71|   145| 4.964|0.002| 5.106|0.002| |-0.128|0.009|G|-.12|0.02|A| | 5.0831|0.0006|0.006| 99| | 5.07| 5.09|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224926|B-03 5749 |          |          |-.12|B7III-IV    |X 
H|         154| |00 01 57.59|-06 00 50.3| 4.37|2|H|000.48996506|-06.01397169| |   7.86|   46.62|  -41.32|  0.80|  0.41|  0.94|  1.09|  0.44| 0.19|-0.09|-0.21| 0.03|-0.03| 0.50| 0.07|-0.26| 0.36| 0.43|  0| 2.73|   154| 6.483|0.006| 4.588|0.005| | 1.631|0.011|G|2.35|0.02|A| | 4.4120|0.0045|0.043|116| | 4.35| 4.46|       |U|2|C|          | |  | 1| | |S|  |   |       |     |     |    |S| | |224935|B-06 6345 |          |          |2.35|M3III       |X 
H|         171| |00 02 09.65|+27 05 04.2| 5.80| |G|000.54018776|+27.08448905| |  80.63|  778.59| -918.72|  2.40|  1.92|  3.03|  2.81|  1.81| 0.25| 0.11| 0.18| 0.00| 0.09| 0.07| 0.07|-0.13| 0.09| 0.26|  0|     |   171|      |     |      |     | | 0.690|0.015|G|0.82|0.05|G| | 5.8735|0.0009|0.007| 96| | 5.86| 5.88|       |D| | |00021+2706|I| 2| 1|X| |S|  |   |       |     |     |    |S| | |224930|B+26 4734 |          |          |0.82|G3V         |X 
H|         183| |00 02 19.91|-29 43 13.6| 5.04| |H|000.58297574|-29.72044805| |   6.40|    9.66|   14.00|  0.74|  0.44|  0.87|  1.04|  0.51| 0.06|-0.25|-0.01| 0.03| 0.03| 0.22|-0.05|-0.37|-0.07|-0.20|  0|-0.85|   183| 4.852|0.002| 5.009|0.002| |-0.150|0.042|G|-.14|0.02|A| | 4.9895|0.0005|0.005|135| | 4.98| 5.00|       | | | |00023-2943|I| 1| 1| | | |  |   |       |     |     |    |S| | |224990|          |C-30 19790|P-30  6829|-.14|B4V         |3 
H|         186| |00 02 24.17|+08 57 24.6| 6.33| |H|000.60069792|+08.95683360| |   7.55|   -0.87|   -4.11|  0.68|  0.47|  0.82|  0.69|  0.52| 0.30| 0.19|-0.08| 0.09|-0.01|-0.04| 0.05|-0.12| 0.25| 0.37|  2| 1.44|   186| 6.555|0.004| 6.354|0.005| | 0.182|0.002|G|0.20|0.00|H| | 6.3912|0.0008|0.007| 93| | 6.38| 6.40|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |224995|B+08 5164 |          |          |0.20|A6V         |X 
H|         194| |00 02 29.76|+08 29 08.1| 5.70| |H|000.62398938|+08.48557854| |  26.53|  -93.55|  -47.50|  0.67|  0.45|  0.77|  0.69|  0.46| 0.28| 0.19| 0.03| 0.03| 0.08|-0.03| 0.10|-0.03| 0.17| 0.28|  4| 1.99|   194| 6.069|0.004| 5.735|0.004| | 0.315|0.006|G|0.36|0.01|H| | 5.7806|0.0008|0.005| 96| | 5.77| 5.79|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225003|B+07 5121 |          |          |0.36|F0V         |X 
H|         207| |00 02 36.08|+66 05 56.3| 5.87| |H|000.65034249|+66.09896341|A|   1.57|    3.32|    1.14|  1.68|  1.64|  1.67|  1.83|  1.61|-0.20|-0.05| 0.20|-0.12| 0.04| 0.15| 0.00|-0.03| 0.13|-0.22|  3|-0.32|   207| 7.222|0.006| 5.963|0.004|A| 1.073|0.005|T|1.04|0.00|L| | 6.0384|0.0214|0.064|142|A| 5.98| 6.17|       |D| | |00026+6606|I| 2| 1|C|P|B|  |   |       |     |     |    |S| | |225009|B+65 1987 |          |          |1.04|G8III       |S 
H|         238| |00 02 57.43|-20 02 45.9| 6.25| |H|000.73927410|-20.04607402| |  16.16|  100.38|   78.95|  0.71|  0.42|  0.96|  0.87|  0.44| 0.12|-0.04| 0.22|-0.19| 0.19| 0.42| 0.11|-0.16|-0.09|-0.05|  0|-0.42|   238| 6.874|0.004| 6.308|0.003| | 0.526|0.004|G|0.60|0.00|H| | 6.3687|0.0006|0.006|145| | 6.36| 6.38|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225045|B-20 6703 |          |          |0.60|F6/F7V      |4 
H|         253| |00 03 07.82|-24 08 42.5| 6.46| |H|000.78257245|-24.14513788| |   6.78|   59.32|   -3.14|  0.76|  0.45|  0.88|  1.08|  0.54| 0.04| 0.05|-0.01| 0.32|-0.08| 0.07|-0.16|-0.12| 0.27|-0.23|  0| 1.54|   253| 7.982|0.008| 6.587|0.005| | 1.176|0.003|G|1.14|0.00|H| | 6.6213|0.0011|0.008|120| | 6.61| 6.63|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225069|          |C-24 17960|P-24  7508|1.14|K1III       |4 
H|         258| |00 03 13.28|+17 33 08.6| 6.59| |H|000.80532807|+17.55239698| |   6.28|   58.45|  -52.87|  0.63|  0.50|  0.78|  0.74|  0.53| 0.42| 0.04| 0.03| 0.14| 0.16| 0.02| 0.15| 0.20| 0.02| 0.46|  0|-1.35|   258| 8.037|0.008| 6.716|0.005| | 1.122|0.007|T|1.08|0.01|L| | 6.7616|0.0008|0.007|105| | 6.75| 6.77|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225073|B+16 5034 |          |          |1.07|K0          |S 
H|         274|H|00 03 25.72|+63 38 25.9| 6.24|2|G|000.85715406|+63.64052431|*|   0.93|   -3.27|   -1.83|  0.42|  0.45|  0.57|  0.55|  0.49|-0.10| 0.11| 0.20| 0.15|-0.08|-0.14|-0.04|-0.03| 0.08|-0.13|  0| 0.86|   274| 6.598|0.004| 6.296|0.004|*| 0.332|0.034|G|0.43|0.03|C|*| 6.3325|0.0027|0.024|131|*| 6.30| 6.38|       |U|2| |00034+6338|M| 1| 2|C|S|A|BA| 38|  0.181|0.014| 1.80|0.21|S| | |225094|B+62 2356 |          |          |0.43|B3Ia        |X 
H|         301| |00 03 44.37|-17 20 09.5| 4.55| |G|000.93488487|-17.33597002| |  14.31|   28.57|   -7.28|  0.90|  0.42|  0.92|  1.09|  0.42| 0.03| 0.21| 0.07|-0.40| 0.20| 0.01| 0.19|-0.21| 0.05|-0.09|  0| 0.11|   301| 4.492|0.002| 4.539|0.002| |-0.047|0.003|G|-.03|0.02|A| | 4.5366|0.0005|0.005|139| | 4.53| 4.55|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225132|B-18 6417 |          |          |-.03|B9IVn       |4 
H|         302| |00 03 51.63|+66 42 43.9| 6.31|2|H|000.96511407|+66.71220273| |   3.31|    7.86|   -8.15|  0.47|  0.46|  0.60|  0.56|  0.46|-0.14| 0.01| 0.30| 0.20|-0.06|-0.06|-0.04| 0.15| 0.16|-0.15|  0| 2.00|   302| 8.443|0.011| 6.522|0.006| | 1.629|0.010|T|2.28|0.04|O| | 6.3544|0.0045|0.034|129| | 6.30| 6.40|       |U|2| |          | |  | 1| | |S|  |   |       |     |     |    |S| |P|225136|B+65 1993 |          |          |2.47|M4          |S 
H|         330| |00 04 13.66|+62 17 15.6| 5.90| |H|001.05693212|+62.28766460| |   0.89|   -0.99|   -0.37|  0.39|  0.45|  0.58|  0.45|  0.50|-0.18| 0.14| 0.30| 0.19|-0.05| 0.03|-0.02| 0.02| 0.24|-0.18|  1|-1.57|   330| 6.215|0.003| 5.927|0.003| | 0.274|0.004|T|0.31|0.01|L| | 5.9712|0.0005|0.006|137| | 5.96| 5.98|       |C| | |00042+6217|I| 2| 1| | | |  |   |       |     |     |    |S| | |225180|B+61 2586 |          |          |0.29|A1III       |X 
H|         343| |00 04 19.76|-16 31 44.0| 5.78| |G|001.08233885|-16.52888969| |  11.29|   53.77|  -60.27|  0.84|  0.42|  0.92|  1.34|  0.42| 0.15|-0.03| 0.08| 0.21| 0.16| 0.25| 0.02|-0.26| 0.04|-0.05|  3| 1.13|   343| 7.193|0.005| 5.898|0.003| | 1.084|0.007|G|1.05|0.01|H| | 5.9563|0.0007|0.007|130| | 5.95| 5.97|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225197|B-17 6868 |          |          |1.05|K0III       |4 
H|         345| |00 04 20.30|-29 16 07.8| 6.38| |H|001.08457463|-29.26883006| |   7.75|   29.15|    3.44|  0.82|  0.48|  0.91|  1.11|  0.62| 0.07|-0.18|-0.01| 0.17|-0.02| 0.04|-0.24|-0.39| 0.07|-0.35|  2|-1.37|   345| 6.383|0.004| 6.378|0.004| | 0.006|0.004|G|0.03|0.00|H| | 6.3910|0.0008|0.007|112| | 6.38| 6.40|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225200|          |C-29 18950|P-29  6916|0.03|A1V         |3 
H|         355| |00 04 30.12|-10 30 34.2| 4.99|1|H|001.12550980|-10.50949443| |   2.03|   -6.49|  -11.88|  0.70|  0.47|  0.93|  1.19|  0.49| 0.42|-0.09|-0.06| 0.03|-0.06| 0.44|-0.13|-0.40| 0.21| 0.34|  0|-0.12|   355| 7.081|0.005| 5.129|0.003| | 1.619|0.005|T|1.64|0.01|L| | 5.0996|0.0009|0.008|137| | 5.09| 5.11|       |M| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225212|B-11 6194 |          |          |1.68|K3Ibvar     |X 
H|         365|H|00 04 36.60|+42 05 33.2| 6.11| |H|001.15248379|+42.09256148|A|   1.94|  -11.94|  -12.73|  0.84|  0.85|  1.12|  1.05|  0.84| 0.04|-0.02| 0.21|-0.07|-0.06|-0.21|-0.01| 0.34|-0.02| 0.05|  4| 1.55|   365| 6.272|0.004| 6.106|0.005|*| 0.159|0.006|T|0.18|0.01|L|*| 6.1627|0.0007|0.007|156|*| 6.15| 6.18|       |D| | |00046+4206|I| 1| 2|C| |D|AB|169|  5.342|0.020| 3.66|0.10|S| |D|225218|B+41 4933 |          |          |0.00|B9III       |X 
H|         377| |00 04 41.25|-71 26 12.7| 5.59| |H|001.17188841|-71.43685835| |   5.70|   30.00|  -13.62|  0.45|  0.41|  0.53|  0.50|  0.41| 0.01| 0.16|-0.20| 0.05| 0.10|-0.10| 0.08|-0.03|-0.03| 0.10|  1| 0.49|   377| 5.456|0.002| 5.571|0.003| |-0.100|0.003|T|-.08|0.00|L| | 5.5635|0.0007|0.008|138| | 5.55| 5.58|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225253|          |          |P-72  2800|-.10|B8III       |X 
H|         379| |00 04 41.84|+67 09 59.0| 5.68| |H|001.17432297|+67.16638761| |  10.30|   95.58|   23.80|  0.42|  0.45|  0.58|  0.48|  0.45|-0.04| 0.10| 0.26|-0.10|-0.06|-0.07|-0.02|-0.03| 0.20|-0.09|  0|-0.24|   379| 7.033|0.005| 5.802|0.004| | 1.051|0.005|T|1.02|0.00|L| | 5.8511|0.0006|0.006|131| | 5.84| 5.87|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225216|B+66 1679 |          |          |1.02|K1III       |S 
H|         394| |00 04 53.21|+34 39 34.4| 6.09| |H|001.22172791|+34.65955259| |  27.18|  769.11|  100.49|  3.42|  2.40|  4.30|  3.50|  2.45| 0.05| 0.26| 0.03|-0.21| 0.05| 0.14| 0.04| 0.10| 0.07| 0.12|  4|     |   394| 6.870|0.004| 6.176|0.004| | 0.632|0.011|G|0.73|0.03|C| | 6.2283|0.0006|0.005| 94| | 6.22| 6.24|       |C| | |          | |  | 1|X| | |  |   |       |     |     |    |S| | |225239|B+33 4828 |          |          |0.73|G2V         |X 
H|         399| |00 04 55.93|+26 38 55.7| 6.25|1|H|001.23302998|+26.64879958| |   5.34|  112.32|  -14.52|  0.61|  0.45|  0.77|  0.71|  0.47| 0.16| 0.20| 0.10| 0.08| 0.05|-0.07| 0.07| 0.03| 0.12| 0.08|  0| 1.30|   399| 8.045|0.009| 6.410|0.004| | 1.368|0.008|T|1.34|0.01|L| | 6.3941|0.0010|0.010| 90| | 6.38| 6.41|       |M| | |00049+2639|I| 1| 1| | | |  |   |       |     |     |    |S| | |225276|B+25 5068 |          |          |1.34|K4IIIb      |S 
H|         410| |00 05 01.13|+27 40 29.3| 6.47| |H|001.25472644|+27.67479979| |   7.63|   83.36|   -6.57|  0.67|  0.43|  0.76|  0.79|  0.47| 0.02| 0.13|-0.01| 0.19|-0.04|-0.07|-0.03| 0.00| 0.15|-0.06|  2| 2.04|   410| 7.669|0.008| 6.574|0.005| | 0.946|0.007|T|0.94|0.01|L| | 6.6310|0.0007|0.007| 87| | 6.62| 6.64|       |C| | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225292|B+26 4744 |          |          |0.95|G8II        |X 
H|         417| |00 05 03.80|-00 30 10.5| 6.32| |H|001.26581912|-00.50290553| |   6.95|   44.86|  -53.47|  0.79|  0.44|  0.81|  1.00|  0.47| 0.15| 0.14|-0.03|-0.16|-0.01| 0.26| 0.00|-0.22| 0.05| 0.03|  0| 0.51|   417| 7.712|0.007| 6.426|0.005| | 1.099|0.001|G|0.91|0.03|E| | 6.4798|0.0011|0.008|107| | 6.47| 6.49|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |     6|B-01 4525 |          |          |0.91|G9III:      |S 
H|         418| |00 05 06.13|+61 18 50.3| 5.80| |H|001.27555231|+61.31396468| |   4.50|   14.29|    2.24|  0.41|  0.43|  0.56|  0.44|  0.48|-0.24| 0.15| 0.12| 0.23|-0.19|-0.09|-0.13| 0.06| 0.23|-0.24|  0| 0.57|   418| 5.704|0.003| 5.783|0.003| |-0.067|0.004|T|-.04|0.00|L| | 5.7814|0.0005|0.006|132| | 5.77| 5.79|       | | | |          | |  | 1| | | |  |   |       |     |     |    |S| | |225289|B+60 2667 |          |          |-.05|B8MNp...    |X 
H|         443| |00 05 20.15|-05 42 28.2| 4.61| |G|001.33394073|-05.70783255|+|  25.38|   -8.29|   88.19|  1.26|  0.73|  1.05|  1.64|  0.52|-0.13| 0.07|-0.37|-0.08|-0.14| 0.39| 0.00|-0.26| 0.22| 0.01|  0| 1.45|   443| 5.958|0.003| 4.738|0.002| | 1.029|0.037|G|1.04|0.02|A| | 4.7803|0.0005|0.005| 91| | 4.77| 4.79|       | | | |          | |  | 1|O| | |  |   |       |     |     |    |S| | |    28|B-06 6357 |          |          |1.04|K1III       |X 
