slotIdx,startMs,durationMs,beamIds,beamPatterns,modcod,clusterIds
0,0,10,3;1,3:MIDDLE;1:MIDDLE,5,3;1
1,10,10,11;2,11:MIDDLE;2:MIDDLE,5,11;2
2,20,10,13;4,13:MIDDLE;4:MIDDLE,5,13;4
3,30,10,19;5,19:MIDDLE;5:MIDDLE,5,19;5
4,40,10,22;6,22:MIDDLE;6:MIDDLE,5,22;6
5,50,10,3;7,3:MIDDLE;7:MIDDLE,5,3;7
6,60,10,11;8,11:MIDDLE;8:MIDDLE,5,11;8
7,70,10,13;9,13:MIDDLE;9:MIDDLE,5,13;9
