time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
700.000000,0,5.1610,193.8602,47.7076,-5.3107,-10.6506
700.000000,1,5.1610,193.9196,47.6682,-5.4094,-11.6711
700.000000,2,5.1610,193.9853,47.6093,-5.5341,-12.2213
700.000000,3,5.1610,194.0579,47.5765,-5.6394,-12.2512
700.000000,4,5.1610,194.1376,47.6810,-5.6146,-11.6568
700.000000,5,5.1610,193.5711,47.6728,-5.0563,-10.8470
700.000000,6,5.1610,193.6272,47.6870,-5.0982,-11.7324
700.000000,7,5.1610,193.6891,47.6861,-5.1610,-12.1196
700.000000,8,5.1610,193.7571,47.5810,-5.3341,-12.1067
700.000000,9,5.1610,193.8316,47.5910,-5.3987,-11.4782
700.000000,10,5.1610,193.3025,47.5945,-4.8661,-11.0915
700.000000,11,5.1610,193.3559,47.6591,-4.8549,-11.8334
700.000000,12,5.1610,193.4147,47.7125,-4.8602,-12.0525
700.000000,13,5.1610,193.4791,47.6645,-4.9726,-11.8513
700.000000,14,5.1610,193.5493,47.5914,-5.1160,-11.1689
700.000000,15,5.1610,193.0510,47.5720,-4.6370,-11.2705
700.000000,16,5.1610,193.1022,47.5808,-4.6794,-11.9728
700.000000,17,5.1610,193.1584,47.6849,-4.6316,-12.0192
700.000000,18,5.1610,193.2198,47.6898,-4.6881,-11.6261
700.000000,19,5.1610,193.2867,47.6826,-4.7621,-10.7222
700.000000,20,5.1610,192.8137,47.6636,-4.3082,-11.3174
700.000000,21,5.1610,192.8631,47.5614,-4.4597,-12.0303
700.000000,22,5.1610,192.9173,47.5991,-4.4761,-12.0200
700.000000,23,5.1610,192.9762,47.6528,-4.4815,-11.4315
700.000000,24,5.1610,193.0402,47.7076,-4.4906,-10.3027
701.000000,0,5.2351,193.7893,47.7077,-5.2397,-10.6190
701.000000,1,5.2351,193.8478,47.6673,-5.3385,-11.6468
701.000000,2,5.2351,193.9127,47.6080,-5.4627,-12.2007
701.000000,3,5.2351,193.9841,47.5765,-5.5656,-12.2294
701.000000,4,5.2351,194.0625,47.6813,-5.5392,-11.6320
701.000000,5,5.2351,193.5050,47.6728,-4.9903,-10.8201
701.000000,6,5.2351,193.5604,47.6867,-5.0317,-11.7108
701.000000,7,5.2351,193.6216,47.6858,-5.0938,-12.1002
701.000000,8,5.2351,193.6887,47.5801,-5.2666,-12.0873
701.000000,9,5.2351,193.7621,47.5907,-5.3295,-11.4546
701.000000,10,5.2351,193.2405,47.5937,-4.8048,-11.0691
701.000000,11,5.2351,193.2933,47.6588,-4.7926,-11.8144
701.000000,12,5.2351,193.3515,47.7125,-4.7970,-12.0343
701.000000,13,5.2351,193.4151,47.6643,-4.9088,-11.8318
701.000000,14,5.2351,193.4845,47.5906,-5.0519,-11.1456
701.000000,15,5.2351,192.9923,47.5716,-4.5787,-11.2509
701.000000,16,5.2351,193.0431,47.5799,-4.6212,-11.9566
701.000000,17,5.2351,193.0988,47.6845,-4.5723,-12.0024
701.000000,18,5.2351,193.1595,47.6895,-4.6281,-11.6066
701.000000,19,5.2351,193.2257,47.6827,-4.7010,-10.6969
701.000000,20,5.2351,192.7578,47.6638,-4.2521,-11.2995
701.000000,21,5.2351,192.8069,47.5614,-4.4035,-12.0144
701.000000,22,5.2351,192.8606,47.5976,-4.4210,-12.0048
701.000000,23,5.2351,192.9191,47.6516,-4.4255,-11.4122
701.000000,24,5.2351,192.9825,47.7076,-4.4329,-10.2756
702.000000,0,5.3094,193.7196,47.7078,-5.1699,-10.5878
702.000000,1,5.3094,193.7774,47.6665,-5.2690,-11.6230
702.000000,2,5.3094,193.8413,47.6066,-5.3927,-12.1804
702.000000,3,5.3094,193.9117,47.5766,-5.4931,-12.2079
702.000000,4,5.3094,193.9889,47.6816,-5.4653,-11.6077
702.000000,5,5.3094,193.4400,47.6728,-4.9252,-10.7935
702.000000,6,5.3094,193.4948,47.6864,-4.9664,-11.6896
702.000000,7,5.3094,193.5552,47.6854,-5.0278,-12.0811
702.000000,8,5.3094,193.6214,47.5791,-5.2003,-12.0682
702.000000,9,5.3094,193.6939,47.5904,-5.2615,-11.4314
702.000000,10,5.3094,193.1793,47.5929,-4.7444,-11.0470
702.000000,11,5.3094,193.2316,47.6585,-4.7312,-11.7958
702.000000,12,5.3094,193.2892,47.7125,-4.7347,-12.0164
702.000000,13,5.3094,193.3521,47.6641,-4.8461,-11.8126
702.000000,14,5.3094,193.4207,47.5899,-4.9888,-11.1225
702.000000,15,5.3094,192.9344,47.5712,-4.5212,-11.2315
702.000000,16,5.3094,192.9847,47.5789,-4.5638,-11.9406
702.000000,17,5.3094,193.0399,47.6841,-4.5138,-11.9857
702.000000,18,5.3094,193.1001,47.6892,-4.5689,-11.5874
702.000000,19,5.3094,193.1655,47.6827,-4.6409,-10.6718
702.000000,20,5.3094,192.7026,47.6641,-4.1966,-11.2818
702.000000,21,5.3094,192.7513,47.5615,-4.3479,-11.9987
702.000000,22,5.3094,192.8046,47.5961,-4.3665,-11.9897
702.000000,23,5.3094,192.8626,47.6504,-4.3702,-11.3932
702.000000,24,5.3094,192.9255,47.7076,-4.3759,-10.2487
703.000000,0,5.3840,193.6511,47.7079,-5.1012,-10.5570
703.000000,1,5.3840,193.7082,47.6656,-5.2006,-11.5996
703.000000,2,5.3840,193.7712,47.6052,-5.3240,-12.1605
703.000000,3,5.3840,193.8406,47.5766,-5.4220,-12.1868
703.000000,4,5.3840,193.9166,47.6818,-5.3928,-11.5839
703.000000,5,5.3840,193.3759,47.6728,-4.8612,-10.7673
703.000000,6,5.3840,193.4301,47.6862,-4.9020,-11.6686
703.000000,7,5.3840,193.4898,47.6851,-4.9628,-12.0623
703.000000,8,5.3840,193.5552,47.5782,-5.1351,-12.0495
703.000000,9,5.3840,193.6267,47.5902,-5.1946,-11.4086
703.000000,10,5.3840,193.1189,47.5922,-4.6848,-11.0252
703.000000,11,5.3840,193.1708,47.6582,-4.6706,-11.7773
703.000000,12,5.3840,193.2277,47.7125,-4.6733,-11.9987
703.000000,13,5.3840,193.2900,47.6638,-4.7842,-11.7936
703.000000,14,5.3840,193.3578,47.5892,-4.9267,-11.0998
703.000000,15,5.3840,192.8771,47.5708,-4.4643,-11.2122
703.000000,16,5.3840,192.9271,47.5780,-4.5071,-11.9247
703.000000,17,5.3840,192.9818,47.6837,-4.4561,-11.9693
703.000000,18,5.3840,193.0414,47.6889,-4.5106,-11.5683
703.000000,19,5.3840,193.1062,47.6828,-4.5815,-10.6470
703.000000,20,5.3840,192.6479,47.6643,-4.1417,-11.2643
703.000000,21,5.3840,192.6964,47.5615,-4.2929,-11.9831
703.000000,22,5.3840,192.7493,47.5946,-4.3127,-11.9748
703.000000,23,5.3840,192.8068,47.6492,-4.3156,-11.3744
703.000000,24,5.3840,192.8691,47.7075,-4.3196,-10.2220
704.000000,0,5.4588,193.5837,47.7080,-5.0337,-10.5266
704.000000,1,5.4588,193.6401,47.6647,-5.1335,-11.5765
704.000000,2,5.4588,193.7023,47.6038,-5.2565,-12.1410
704.000000,3,5.4588,193.7707,47.5767,-5.3520,-12.1661
704.000000,4,5.4588,193.8456,47.6821,-5.3215,-11.5606
704.000000,5,5.4588,193.3128,47.6727,-4.7981,-10.7413
704.000000,6,5.4588,193.3664,47.6859,-4.8386,-11.6479
704.000000,7,5.4588,193.4255,47.6847,-4.8988,-12.0437
704.000000,8,5.4588,193.4901,47.5772,-5.0709,-12.0311
704.000000,9,5.4588,193.5607,47.5899,-5.1288,-11.3861
704.000000,10,5.4588,193.0594,47.5914,-4.6260,-11.0037
704.000000,11,5.4588,193.1108,47.6579,-4.6109,-11.7590
