time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
1870.000000,0,5.6200,190.0751,47.7092,-1.5239,-11.0821
1870.000000,1,5.6200,190.1081,47.6515,-1.6147,-11.6620
1870.000000,2,5.6200,190.1422,47.6700,-1.6302,-11.5465
1870.000000,3,5.6200,190.1775,47.6472,-1.6884,-10.8737
1870.000000,4,5.6200,190.2138,47.6337,-1.7382,-9.5874
1870.000000,5,5.6200,190.1778,47.6714,-1.6645,-10.8473
1870.000000,6,5.6200,190.2101,47.6296,-1.7385,-11.5992
1870.000000,7,5.6200,190.2434,47.6583,-1.7432,-11.6727
1870.000000,8,5.6200,190.2778,47.6897,-1.7461,-11.1563
1870.000000,9,5.6200,190.3133,47.7066,-1.7647,-10.0699
1870.000000,10,5.6200,190.2795,47.6512,-1.7864,-10.5404
1870.000000,11,5.6200,190.3110,47.6630,-1.8060,-11.4158
1870.000000,12,5.6200,190.3435,47.7125,-1.7891,-11.6573
1870.000000,13,5.6200,190.3771,47.6624,-1.8728,-11.4316
1870.000000,14,5.6200,190.4118,47.6547,-1.9151,-10.5933
1870.000000,15,5.6200,190.3801,47.7076,-1.8306,-10.1006
1870.000000,16,5.6200,190.4109,47.6865,-1.8824,-11.1860
1870.000000,17,5.6200,190.4427,47.6607,-1.9400,-11.6896
1870.000000,18,5.6200,190.4755,47.6280,-2.0055,-11.6380
1870.000000,19,5.6200,190.5094,47.6849,-1.9825,-10.9385
1870.000000,20,5.6200,190.4797,47.6749,-1.9628,-9.7136
1870.000000,21,5.6200,190.5097,47.6631,-2.0046,-10.9537
1870.000000,22,5.6200,190.5408,47.6596,-2.0392,-11.6071
1870.000000,23,5.6200,190.5729,47.6577,-2.0732,-11.7059
1870.000000,24,5.6200,190.6061,47.7027,-2.0614,-11.2158
1871.000000,0,5.6949,190.0497,47.7092,-1.4985,-11.0736
1871.000000,1,5.6949,190.0829,47.6517,-1.5893,-11.6536
1871.000000,2,5.6949,190.1172,47.6706,-1.6046,-11.5362
1871.000000,3,5.6949,190.1526,47.6461,-1.6646,-10.8620
1871.000000,4,5.6949,190.1892,47.6324,-1.7148,-9.5708
1871.000000,5,5.6949,190.1527,47.6716,-1.6392,-10.8372
1871.000000,6,5.6949,190.1851,47.6289,-1.7142,-11.5915
1871.000000,7,5.6949,190.2186,47.6576,-1.7190,-11.6646
1871.000000,8,5.6949,190.2532,47.6896,-1.7217,-11.1459
1871.000000,9,5.6949,190.2889,47.7066,-1.7403,-10.0557
1871.000000,10,5.6949,190.2546,47.6509,-1.7617,-10.5288
1871.000000,11,5.6949,190.2863,47.6627,-1.7816,-11.4069
1871.000000,12,5.6949,190.3190,47.7125,-1.7646,-11.6489
1871.000000,13,5.6949,190.3528,47.6621,-1.8487,-11.4227
1871.000000,14,5.6949,190.3877,47.6546,-1.8912,-10.5820
1871.000000,15,5.6949,190.3555,47.7076,-1.8059,-10.0862
1871.000000,16,5.6949,190.3864,47.6863,-1.8582,-11.1756
1871.000000,17,5.6949,190.4184,47.6601,-1.9163,-11.6814
1871.000000,18,5.6949,190.4514,47.6273,-1.9821,-11.6304
1871.000000,19,5.6949,190.4855,47.6851,-1.9584,-10.9287
1871.000000,20,5.6949,190.4554,47.6743,-1.9391,-9.6970
1871.000000,21,5.6949,190.4856,47.6623,-1.9813,-10.9421
1871.000000,22,5.6949,190.5168,47.6602,-2.0146,-11.5968
1871.000000,23,5.6949,190.5491,47.6579,-2.0492,-11.6975
1871.000000,24,5.6949,190.5824,47.7025,-2.0379,-11.2077
1872.000000,0,5.7700,190.0242,47.7092,-1.4731,-11.0650
1872.000000,1,5.7700,190.0576,47.6519,-1.5638,-11.6451
1872.000000,2,5.7700,190.0921,47.6712,-1.5789,-11.5259
1872.000000,3,5.7700,190.1277,47.6450,-1.6408,-10.8503
1872.000000,4,5.7700,190.1645,47.6312,-1.6913,-9.5542
1872.000000,5,5.7700,190.1275,47.6717,-1.6138,-10.8271
1872.000000,6,5.7700,190.1601,47.6282,-1.6899,-11.5838
1872.000000,7,5.7700,190.1938,47.6570,-1.6948,-11.6565
1872.000000,8,5.7700,190.2286,47.6894,-1.6972,-11.1354
1872.000000,9,5.7700,190.2644,47.7066,-1.7159,-10.0414
1872.000000,10,5.7700,190.2297,47.6507,-1.7370,-10.5171
1872.000000,11,5.7700,190.2615,47.6625,-1.7571,-11.3979
1872.000000,12,5.7700,190.2944,47.7125,-1.7400,-11.6404
1872.000000,13,5.7700,190.3284,47.6618,-1.8246,-11.4138
1872.000000,14,5.7700,190.3634,47.6544,-1.8671,-10.5708
1872.000000,15,5.7700,190.3308,47.7077,-1.7812,-10.0718
1872.000000,16,5.7700,190.3619,47.6861,-1.8339,-11.1651
1872.000000,17,5.7700,190.3941,47.6595,-1.8925,-11.6733
1872.000000,18,5.7700,190.4273,47.6267,-1.9586,-11.6227
1872.000000,19,5.7700,190.4615,47.6853,-1.9342,-10.9189
1872.000000,20,5.7700,190.4310,47.6737,-1.9153,-9.6804
1872.000000,21,5.7700,190.4613,47.6615,-1.9579,-10.9304
1872.000000,22,5.7700,190.4927,47.6608,-1.9900,-11.5865
1872.000000,23,5.7700,190.5252,47.6581,-2.0251,-11.6889
1872.000000,24,5.7700,190.5587,47.7023,-2.0144,-11.1996
1873.000000,0,5.8454,189.9987,47.7091,-1.4476,-11.0565
1873.000000,1,5.8454,190.0322,47.6520,-1.5382,-11.6367
1873.000000,2,5.8454,190.0669,47.6719,-1.5531,-11.5155
1873.000000,3,5.8454,190.1028,47.6438,-1.6169,-10.8385
1873.000000,4,5.8454,190.1397,47.6299,-1.6678,-9.5375
1873.000000,5,5.8454,190.1022,47.6719,-1.5884,-10.8169
1873.000000,6,5.8454,190.1350,47.6275,-1.6655,-11.5761
1873.000000,7,5.8454,190.1689,47.6564,-1.6705,-11.6484
1873.000000,8,5.8454,190.2038,47.6892,-1.6727,-11.1249
1873.000000,9,5.8454,190.2399,47.7066,-1.6914,-10.0271
1873.000000,10,5.8454,190.2047,47.6505,-1.7122,-10.5054
1873.000000,11,5.8454,190.2367,47.6622,-1.7325,-11.3888
1873.000000,12,5.8454,190.2698,47.7125,-1.7153,-11.6319
1873.000000,13,5.8454,190.3039,47.6616,-1.8004,-11.4049
1873.000000,14,5.8454,190.3392,47.6542,-1.8430,-10.5594
1873.000000,15,5.8454,190.3061,47.7078,-1.7564,-10.0572
1873.000000,16,5.8454,190.3373,47.6859,-1.8095,-11.1546
1873.000000,17,5.8454,190.3697,47.6590,-1.8687,-11.6651
1873.000000,18,5.8454,190.4030,47.6260,-1.9351,-11.6150
1873.000000,19,5.8454,190.4375,47.6856,-1.9100,-10.9092
1873.000000,20,5.8454,190.4065,47.6730,-1.8915,-9.6637
1873.000000,21,5.8454,190.4370,47.6606,-1.9344,-10.9187
1873.000000,22,5.8454,190.4686,47.6614,-1.9652,-11.5761
1873.000000,23,5.8454,190.5012,47.6583,-2.0009,-11.6804
1873.000000,24,5.8454,190.5349,47.7020,-1.9909,-11.1915
1874.000000,0,5.9210,189.9731,47.7091,-1.4220,-11.0479
1874.000000,1,5.9210,190.0068,47.6522,-1.5126,-11.6281
1874.000000,2,5.9210,190.0417,47.6725,-1.5273,-11.5050
1874.000000,3,5.9210,190.0777,47.6427,-1.5931,-10.8267
1874.000000,4,5.9210,190.1148,47.6286,-1.6443,-9.5208
1874.000000,5,5.9210,190.0769,47.6721,-1.5628,-10.8067
1874.000000,6,5.9210,190.1098,47.6268,-1.6410,-11.5683
1874.000000,7,5.9210,190.1439,47.6558,-1.6461,-11.6403
1874.000000,8,5.9210,190.1791,47.6890,-1.6481,-11.1144
1874.000000,9,5.9210,190.2153,47.7066,-1.6668,-10.0127
1874.000000,10,5.9210,190.1796,47.6503,-1.6874,-10.4937
1874.000000,11,5.9210,190.2118,47.6619,-1.7079,-11.3798
1874.000000,12,5.9210,190.2450,47.7125,-1.6906,-11.6234
1874.000000,13,5.9210,190.2794,47.6613,-1.7762,-11.3960
1874.000000,14,5.9210,190.3148,47.6540,-1.8189,-10.5481
1874.000000,15,5.9210,190.2813,47.7078,-1.7315,-10.0427
1874.000000,16,5.9210,190.3127,47.6857,-1.7851,-11.1440
1874.000000,17,5.9210,190.3452,47.6584,-1.8449,-11.6568
1874.000000,18,5.9210,190.3788,47.6253,-1.9115,-11.6072
1874.000000,19,5.9210,190.4134,47.6858,-1.8857,-10.8993
1874.000000,20,5.9210,190.3819,47.6724,-1.8676,-9.6469
1874.000000,21,5.9210,190.4126,47.6598,-1.9109,-10.9069
1874.000000,22,5.9210,190.4444,47.6620,-1.9404,-11.5656
1874.000000,23,5.9210,190.4772,47.6585,-1.9767,-11.6717
1874.000000,24,5.9210,190.5110,47.7017,-1.9673,-11.1834
1875.000000,0,5.9968,189.9474,47.7090,-1.3964,-11.0393
1875.000000,1,5.9968,189.9813,47.6524,-1.4869,-11.6196
1875.000000,2,5.9968,190.0164,47.6731,-1.5014,-11.4945
1875.000000,3,5.9968,190.0526,47.6415,-1.5691,-10.8149
1875.000000,4,5.9968,190.0899,47.6273,-1.6207,-9.5040
1875.000000,5,5.9968,190.0515,47.6723,-1.5372,-10.7965
1875.000000,6,5.9968,190.0846,47.6261,-1.6165,-11.5605
1875.000000,7,5.9968,190.1188,47.6551,-1.6217,-11.6321
1875.000000,8,5.9968,190.1542,47.6888,-1.6234,-11.1038
1875.000000,9,5.9968,190.1907,47.7065,-1.6422,-9.9983
1875.000000,10,5.9968,190.1545,47.6500,-1.6625,-10.4820
1875.000000,11,5.9968,190.1868,47.6616,-1.6832,-11.3707
1875.000000,12,5.9968,190.2203,47.7125,-1.6658,-11.6148
1875.000000,13,5.9968,190.2548,47.6610,-1.7519,-11.3870
1875.000000,14,5.9968,190.2904,47.6538,-1.7947,-10.5367
1875.000000,15,5.9968,190.2564,47.7079,-1.7066,-10.0281
1875.000000,16,5.9968,190.2880,47.6855,-1.7606,-11.1334
1875.000000,17,5.9968,190.3207,47.6578,-1.8210,-11.6486
1875.000000,18,5.9968,190.3544,47.6246,-1.8879,-11.5994
1875.000000,19,5.9968,190.3892,47.6860,-1.8613,-10.8895
1875.000000,20,5.9968,190.3573,47.6717,-1.8437,-9.6301
1875.000000,21,5.9968,190.3882,47.6589,-1.8873,-10.8951
1875.000000,22,5.9968,190.4201,47.6626,-1.9155,-11.5551
1875.000000,23,5.9968,190.4531,47.6587,-1.9524,-11.6631
1875.000000,24,5.9968,190.4871,47.7015,-1.9436,-11.1753
1876.000000,0,6.0729,189.9216,47.7090,-1.3707,-11.0307
1876.000000,1,6.0729,189.9557,47.6526,-1.4612,-11.6110
1876.000000,2,6.0729,189.9910,47.6737,-1.4754,-11.4839
1876.000000,3,6.0729,190.0275,47.6404,-1.5451,-10.8030
1876.000000,4,6.0729,190.0650,47.6259,-1.5971,-9.4871
1876.000000,5,6.0729,190.0260,47.6724,-1.5116,-10.7862
1876.000000,6,6.0729,190.0593,47.6254,-1.5920,-11.5527
1876.000000,7,6.0729,190.0937,47.6545,-1.5973,-11.6239
1876.000000,8,6.0729,190.1293,47.6886,-1.5987,-11.0932
1876.000000,9,6.0729,190.1660,47.7065,-1.6175,-9.9838
1876.000000,10,6.0729,190.1293,47.6498,-1.6375,-10.4702
1876.000000,11,6.0729,190.1618,47.6613,-1.6585,-11.3615
1876.000000,12,6.0729,190.1954,47.7125,-1.6410,-11.6062
1876.000000,13,6.0729,190.2302,47.6607,-1.7275,-11.3780
1876.000000,14,6.0729,190.2660,47.6536,-1.7704,-10.5253
1876.000000,15,6.0729,190.2315,47.7080,-1.6816,-10.0134
1876.000000,16,6.0729,190.2632,47.6853,-1.7360,-11.1227
1876.000000,17,6.0729,190.2961,47.6571,-1.7970,-11.6402
