time_s,cell_idx,elevation_deg,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
2410.000000,0,5.4384,190.1214,47.6558,-1.6237,-11.4334
2410.000000,1,5.4384,190.1659,47.7056,-1.6183,-11.7134
2410.000000,2,5.4384,190.2113,47.6847,-1.6847,-11.4993
2410.000000,3,5.4384,190.2577,47.6723,-1.7434,-10.7181
2410.000000,4,5.4384,190.3048,47.6356,-1.8273,-9.4083
2410.000000,5,5.4384,190.2192,47.7020,-1.6752,-11.0613
2410.000000,6,5.4384,190.2627,47.6259,-1.7948,-11.7317
2410.000000,7,5.4384,190.3071,47.6289,-1.8363,-11.7546
2410.000000,8,5.4384,190.3524,47.6930,-1.8174,-11.1669
2410.000000,9,5.4384,190.3985,47.6899,-1.8667,-10.1113
2410.000000,10,5.4384,190.3162,47.6656,-1.8086,-10.6715
2410.000000,11,5.4384,190.3587,47.6555,-1.8612,-11.5177
2410.000000,12,5.4384,190.4021,47.7125,-1.8477,-11.7339
2410.000000,13,5.4384,190.4464,47.6553,-1.9491,-11.5365
2410.000000,14,5.4384,190.4916,47.6683,-1.9813,-10.7393
2410.000000,15,5.4384,190.4123,47.6990,-1.8713,-10.1064
2410.000000,16,5.4384,190.4539,47.6921,-1.9198,-11.1881
2410.000000,17,5.4384,190.4963,47.6220,-2.0323,-11.7809
2410.000000,18,5.4384,190.5397,47.6259,-2.0718,-11.7664
2410.000000,19,5.4384,190.5838,47.7058,-2.0361,-11.1574
2410.000000,20,5.4384,190.5076,47.6278,-2.0378,-9.5647
2410.000000,21,5.4384,190.5482,47.6349,-2.0713,-10.8586
2410.000000,22,5.4384,190.5898,47.6885,-2.0594,-11.5511
2410.000000,23,5.4384,190.6322,47.7064,-2.0839,-11.7587
2410.000000,24,5.4384,190.6754,47.6360,-2.1975,-11.5567
2411.000000,0,5.5104,190.0969,47.6547,-1.6003,-11.4279
2411.000000,1,5.5104,190.1417,47.7057,-1.5940,-11.7059
2411.000000,2,5.5104,190.1873,47.6845,-1.6609,-11.4898
2411.000000,3,5.5104,190.2339,47.6731,-1.7188,-10.7039
2411.000000,4,5.5104,190.2813,47.6346,-1.8047,-9.3907
2411.000000,5,5.5104,190.1949,47.7022,-1.6508,-11.0530
2411.000000,6,5.5104,190.2387,47.6257,-1.7710,-11.7247
2411.000000,7,5.5104,190.2833,47.6294,-1.8120,-11.7461
2411.000000,8,5.5104,190.3288,47.6928,-1.7941,-11.1571
2411.000000,9,5.5104,190.3752,47.6896,-1.8437,-10.0981
2411.000000,10,5.5104,190.2921,47.6655,-1.7847,-10.6611
2411.000000,11,5.5104,190.3349,47.6551,-1.8378,-11.5099
2411.000000,12,5.5104,190.3785,47.7125,-1.8241,-11.7263
2411.000000,13,5.5104,190.4231,47.6550,-1.9261,-11.5288
2411.000000,14,5.5104,190.4684,47.6682,-1.9582,-10.7294
2411.000000,15,5.5104,190.3884,47.6988,-1.8477,-10.0927
2411.000000,16,5.5104,190.4303,47.6919,-1.8964,-11.1782
2411.000000,17,5.5104,190.4730,47.6220,-2.0090,-11.7729
2411.000000,18,5.5104,190.5165,47.6255,-2.0490,-11.7595
2411.000000,19,5.5104,190.5609,47.7059,-2.0130,-11.1495
2411.000000,20,5.5104,190.4839,47.6269,-2.0150,-9.5475
2411.000000,21,5.5104,190.5248,47.6357,-2.0472,-10.8448
2411.000000,22,5.5104,190.5666,47.6884,-2.0362,-11.5416
2411.000000,23,5.5104,190.6092,47.7064,-2.0609,-11.7511
2411.000000,24,5.5104,190.6526,47.6346,-2.1761,-11.5515
2412.000000,0,5.5826,190.0723,47.6535,-1.5769,-11.4223
2412.000000,1,5.5826,190.1173,47.7057,-1.5697,-11.6983
2412.000000,2,5.5826,190.1632,47.6843,-1.6370,-11.4803
2412.000000,3,5.5826,190.2100,47.6738,-1.6942,-10.6896
2412.000000,4,5.5826,190.2577,47.6337,-1.7820,-9.3731
2412.000000,5,5.5826,190.1706,47.7024,-1.6262,-11.0447
2412.000000,6,5.5826,190.2146,47.6254,-1.7472,-11.7176
2412.000000,7,5.5826,190.2595,47.6299,-1.7876,-11.7375
2412.000000,8,5.5826,190.3052,47.6926,-1.7706,-11.1472
2412.000000,9,5.5826,190.3518,47.6892,-1.8206,-10.0849
2412.000000,10,5.5826,190.2680,47.6654,-1.7607,-10.6507
2412.000000,11,5.5826,190.3110,47.6548,-1.8142,-11.5020
2412.000000,12,5.5826,190.3549,47.7125,-1.8004,-11.7188
2412.000000,13,5.5826,190.3996,47.6546,-1.9030,-11.5210
2412.000000,14,5.5826,190.4452,47.6682,-1.9351,-10.7194
2412.000000,15,5.5826,190.3645,47.6986,-1.8240,-10.0791
2412.000000,16,5.5826,190.4066,47.6917,-1.8730,-11.1682
2412.000000,17,5.5826,190.4495,47.6225,-1.9851,-11.7643
2412.000000,18,5.5826,190.4933,47.6252,-2.0261,-11.7525
2412.000000,19,5.5826,190.5379,47.7060,-1.9899,-11.1415
2412.000000,20,5.5826,190.4603,47.6261,-1.9922,-9.5302
2412.000000,21,5.5826,190.5014,47.6365,-2.0229,-10.8309
2412.000000,22,5.5826,190.5434,47.6883,-2.0131,-11.5320
2412.000000,23,5.5826,190.5862,47.7064,-2.0378,-11.7435
2412.000000,24,5.5826,190.6298,47.6332,-2.1547,-11.5462
2413.000000,0,5.6550,190.0477,47.6523,-1.5534,-11.4168
2413.000000,1,5.6550,190.0930,47.7057,-1.5453,-11.6908
2413.000000,2,5.6550,190.1391,47.6840,-1.6132,-11.4708
2413.000000,3,5.6550,190.1861,47.6746,-1.6696,-10.6753
2413.000000,4,5.6550,190.2340,47.6327,-1.7593,-9.3554
2413.000000,5,5.6550,190.1462,47.7026,-1.6017,-11.0363
2413.000000,6,5.6550,190.1904,47.6251,-1.7233,-11.7106
2413.000000,7,5.6550,190.2355,47.6304,-1.7632,-11.7289
2413.000000,8,5.6550,190.2815,47.6924,-1.7472,-11.1373
2413.000000,9,5.6550,190.3284,47.6889,-1.7975,-10.0716
2413.000000,10,5.6550,190.2438,47.6653,-1.7366,-10.6403
2413.000000,11,5.6550,190.2870,47.6544,-1.7907,-11.4942
2413.000000,12,5.6550,190.3312,47.7125,-1.7767,-11.7113
2413.000000,13,5.6550,190.3761,47.6543,-1.8799,-11.5133
2413.000000,14,5.6550,190.4220,47.6681,-1.9119,-10.7095
2413.000000,15,5.6550,190.3406,47.6984,-1.8003,-10.0653
2413.000000,16,5.6550,190.3828,47.6914,-1.8494,-11.1582
2413.000000,17,5.6550,190.4260,47.6229,-1.9611,-11.7557
2413.000000,18,5.6550,190.4700,47.6248,-2.0032,-11.7456
2413.000000,19,5.6550,190.5148,47.7061,-1.9667,-11.1336
2413.000000,20,5.6550,190.4365,47.6253,-1.9693,-9.5129
2413.000000,21,5.6550,190.4779,47.6372,-1.9986,-10.8169
2413.000000,22,5.6550,190.5201,47.6883,-1.9898,-11.5224
2413.000000,23,5.6550,190.5631,47.7064,-2.0147,-11.7358
2413.000000,24,5.6550,190.6070,47.6317,-2.1333,-11.5410
2414.000000,0,5.7275,190.0230,47.6511,-1.5300,-11.4113
2414.000000,1,5.7275,190.0685,47.7057,-1.5209,-11.6832
2414.000000,2,5.7275,190.1149,47.6837,-1.5893,-11.4613
2414.000000,3,5.7275,190.1622,47.6754,-1.6449,-10.6609
2414.000000,4,5.7275,190.2103,47.6318,-1.7366,-9.3376
2414.000000,5,5.7275,190.1217,47.7027,-1.5770,-11.0280
2414.000000,6,5.7275,190.1662,47.6248,-1.6994,-11.7035
2414.000000,7,5.7275,190.2115,47.6309,-1.7387,-11.7202
2414.000000,8,5.7275,190.2578,47.6921,-1.7237,-11.1274
2414.000000,9,5.7275,190.3049,47.6885,-1.7744,-10.0584
2414.000000,10,5.7275,190.2196,47.6652,-1.7125,-10.6299
2414.000000,11,5.7275,190.2630,47.6540,-1.7670,-11.4862
2414.000000,12,5.7275,190.3074,47.7125,-1.7530,-11.7037
2414.000000,13,5.7275,190.3526,47.6539,-1.8568,-11.5055
2414.000000,14,5.7275,190.3987,47.6680,-1.8887,-10.6995
2414.000000,15,5.7275,190.3166,47.6981,-1.7765,-10.0516
2414.000000,16,5.7275,190.3591,47.6912,-1.8259,-11.1481
2414.000000,17,5.7275,190.4024,47.6234,-1.9370,-11.7470
2414.000000,18,5.7275,190.4467,47.6245,-1.9802,-11.7386
2414.000000,19,5.7275,190.4917,47.7063,-1.9435,-11.1256
2414.000000,20,5.7275,190.4127,47.6244,-1.9464,-9.4954
2414.000000,21,5.7275,190.4543,47.6380,-1.9743,-10.8028
2414.000000,22,5.7275,190.4967,47.6882,-1.9666,-11.5127
2414.000000,23,5.7275,190.5400,47.7064,-1.9916,-11.7281
2414.000000,24,5.7275,190.5841,47.6303,-2.1118,-11.5357
2415.000000,0,5.8004,189.9983,47.6499,-1.5064,-11.4058
2415.000000,1,5.8004,190.0440,47.7056,-1.4964,-11.6756
2415.000000,2,5.8004,190.0907,47.6834,-1.5653,-11.4517
2415.000000,3,5.8004,190.1382,47.6762,-1.6201,-10.6464
2415.000000,4,5.8004,190.1866,47.6308,-1.7139,-9.3198
2415.000000,5,5.8004,190.0972,47.7029,-1.5523,-11.0197
2415.000000,6,5.8004,190.1419,47.6246,-1.6754,-11.6964
2415.000000,7,5.8004,190.1875,47.6314,-1.7141,-11.7115
2415.000000,8,5.8004,190.2340,47.6919,-1.7001,-11.1174
2415.000000,9,5.8004,190.2813,47.6881,-1.7513,-10.0450
2415.000000,10,5.8004,190.1953,47.6651,-1.6883,-10.6194
2415.000000,11,5.8004,190.2390,47.6537,-1.7434,-11.4783
2415.000000,12,5.8004,190.2836,47.7125,-1.7291,-11.6960
2415.000000,13,5.8004,190.3290,47.6535,-1.8335,-11.4977
2415.000000,14,5.8004,190.3753,47.6679,-1.8654,-10.6895
2415.000000,15,5.8004,190.2925,47.6979,-1.7526,-10.0378
2415.000000,16,5.8004,190.3352,47.6910,-1.8023,-11.1381
2415.000000,17,5.8004,190.3788,47.6239,-1.9129,-11.7383
2415.000000,18,5.8004,190.4233,47.6241,-1.9572,-11.7316
2415.000000,19,5.8004,190.4686,47.7064,-1.9202,-11.1176
2415.000000,20,5.8004,190.3889,47.6235,-1.9234,-9.4780
2415.000000,21,5.8004,190.4306,47.6388,-1.9499,-10.7887
2415.000000,22,5.8004,190.4733,47.6881,-1.9432,-11.5030
2415.000000,23,5.8004,190.5168,47.7064,-1.9684,-11.7204
2415.000000,24,5.8004,190.5611,47.6288,-2.0904,-11.5305
