time_s,frame_id,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
385.370000000,38537,89.997547754,0,10,178.131545250,3.884469634,136.585633643,56.857078644
385.370000000,38537,89.997547754,1,4,178.133920820,19.185069258,144.740242444,59.836909846
385.370000000,38537,89.997547754,2,18,178.179943644,16.694490373,140.246843480,59.482058451
385.370000000,38537,89.997547754,3,6,178.178163320,30.248762542,139.627514521,60.309272179
385.370000000,38537,89.997547754,4,3,178.221451570,18.567092084,130.493115803,54.167928917
385.370000000,38537,89.997547754,5,7,178.233184735,22.117335008,132.419446957,54.914176460
385.370000000,38537,89.997547754,6,14,178.111789357,-1.737120147,132.615798076,55.175088609
385.370000000,38537,89.997547754,7,9,178.104325041,18.083118011,141.212941341,59.653512634
385.370000000,38537,89.997547754,8,17,178.157108264,19.746985634,141.903744835,59.895615941
385.370000000,38537,89.997547754,9,1,178.237763615,8.120458425,122.157125527,49.658372742
385.370000000,38537,89.997547754,10,18,178.186245471,4.059312792,138.050535074,56.938563226
385.370000000,38537,89.997547754,11,9,178.106895385,6.315757407,140.255191576,57.648726409
385.370000000,38537,89.997547754,12,0,178.228572255,14.297916443,130.899376013,54.141339714
385.370000000,38537,89.997547754,13,17,178.188629155,20.007891189,140.583812364,58.945821159
385.370000000,38537,89.997547754,14,12,178.177076502,13.236362354,142.328633602,58.842464715
385.370000000,38537,89.997547754,15,5,178.147697428,2.121730382,133.400892045,56.470949744
385.370000000,38537,89.997547754,16,16,178.238970860,25.812988583,131.619600087,54.471596790
385.370000000,38537,89.997547754,17,2,178.163852592,1.261568874,132.780688465,56.291635642
385.370000000,38537,89.997547754,18,11,178.238656251,32.051353959,133.122437503,55.479311138
385.370000000,38537,89.997547754,19,3,178.208055410,18.708635101,137.120329945,56.473151745
385.370000000,38537,89.997547754,20,12,178.157357163,20.793394746,143.547612585,60.006284430
385.370000000,38537,89.997547754,21,2,178.217307762,20.775725386,138.034344148,57.264473609
385.370000000,38537,89.997547754,22,7,178.216051346,37.643415305,145.208357382,59.283046779
385.370000000,38537,89.997547754,23,15,178.182809334,0.915074365,137.736331868,56.291887331
385.370000000,38537,89.997547754,24,17,178.163170118,10.682554673,140.465206187,58.483630508
385.370000000,38537,89.997547754,25,5,178.125229031,18.809274292,141.818184095,59.759042793
385.370000000,38537,89.997547754,26,16,178.186894582,23.632013110,141.036090169,60.186558903
