time_s,row,col,cx_m,cy_m,elevation_deg,in_footprint,path_loss_dB,beam_gain_dB,snr_dB,sinr_dB
0.200000,1,2,0.000,-28284.271,53.9587,1,180.0243,46.0458,6.8635,-5.5693
0.200000,1,3,28284.271,-28284.271,53.9587,1,179.9064,45.7457,6.6813,-5.0760
0.200000,1,4,56568.542,-28284.271,53.9587,1,179.7986,43.1685,4.2118,-6.8043
0.200000,2,0,-56568.542,0.000,53.9587,1,180.4689,47.5531,7.9262,-6.1852
0.200000,2,1,-28284.271,0.000,53.9587,1,180.3372,47.6513,8.1561,-6.8927
0.200000,2,2,0.000,0.000,53.9587,1,180.2139,47.7125,8.3405,-7.0493
0.200000,2,3,28284.271,0.000,53.9587,1,180.0598,47.5846,8.3668,-6.8766
0.200000,2,4,56568.542,0.000,53.9587,1,179.9556,47.0021,7.8885,-6.5025
0.200000,3,0,-56568.542,28284.271,53.9587,1,180.6175,44.2460,4.4705,-6.6354
0.200000,3,1,-28284.271,28284.271,53.9587,1,180.4900,45.8975,6.2495,-5.4363
0.200000,3,2,0.000,28284.271,53.9587,1,180.3707,46.0643,6.5355,-5.6762
0.200000,3,3,28284.271,28284.271,53.9587,1,180.2604,45.5733,6.1549,-5.9131
0.200000,3,4,56568.542,28284.271,53.9587,1,180.1598,44.7095,5.3916,-5.6383
0.200000,4,0,-56568.542,56568.542,53.9587,1,180.7724,36.1926,-3.7378,-7.0551
0.200000,4,1,-28284.271,56568.542,53.9587,1,180.6491,37.5209,-2.2862,-6.7882
0.200000,4,2,0.000,56568.542,53.9587,1,180.5338,39.0804,-0.6115,-5.3231
0.200000,4,3,28284.271,56568.542,53.9587,1,180.4274,38.0511,-1.5343,-6.3631
0.200000,4,4,56568.542,56568.542,53.9587,1,180.3304,36.2026,-3.2858,-7.8450
0.300000,0,0,-56568.542,-56568.542,53.9965,1,180.1906,35.2484,-4.1003,-8.7189
0.300000,0,1,-28284.271,-56568.542,53.9965,1,180.0107,36.4016,-2.7671,-7.2066
0.300000,0,2,0.000,-56568.542,53.9965,1,179.8794,37.7601,-1.2773,-5.3274
0.300000,0,3,28284.271,-56568.542,53.9965,1,179.7577,34.6265,-4.2893,-8.3705
0.300000,0,4,56568.542,-56568.542,53.9965,1,179.6464,32.2416,-6.5629,-9.6334
0.300000,1,0,-56568.542,-28284.271,53.9965,1,180.3241,45.5663,6.0842,-5.2954
0.300000,1,1,-28284.271,-28284.271,53.9965,1,180.1881,45.2323,5.8861,-6.6905
0.300000,1,2,0.000,-28284.271,53.9965,1,180.0208,46.0515,6.8727,-5.5509
0.300000,1,3,28284.271,-28284.271,53.9965,1,179.9028,45.7516,6.6908,-5.0515
0.300000,1,4,56568.542,-28284.271,53.9965,1,179.7950,43.1677,4.2147,-6.7852
0.300000,2,0,-56568.542,0.000,53.9965,1,180.4654,47.5530,7.9295,-6.1816
0.300000,2,1,-28284.271,0.000,53.9965,1,180.3336,47.6513,8.1597,-6.8881
0.300000,2,2,0.000,0.000,53.9965,1,180.2102,47.7125,8.3443,-7.0439
0.300000,2,3,28284.271,0.000,53.9965,1,180.0560,47.5844,8.3704,-6.8726
0.300000,2,4,56568.542,0.000,53.9965,1,179.9517,47.0012,7.8915,-6.4998
0.300000,3,0,-56568.542,28284.271,53.9965,1,180.6138,44.2390,4.4671,-6.6258
0.300000,3,1,-28284.271,28284.271,53.9965,1,180.4862,45.9012,6.2571,-5.4159
0.300000,3,2,0.000,28284.271,53.9965,1,180.3668,46.0692,6.5444,-5.6593
0.300000,3,3,28284.271,28284.271,53.9965,1,180.2564,45.5764,6.1619,-5.9018
0.300000,3,4,56568.542,28284.271,53.9965,1,180.1557,44.7099,5.3961,-5.6301
0.300000,4,0,-56568.542,56568.542,53.9965,1,180.7685,36.1759,-3.7506,-7.0601
0.300000,4,1,-28284.271,56568.542,53.9965,1,180.6451,37.5158,-2.2874,-6.7824
0.300000,4,2,0.000,56568.542,53.9965,1,180.5297,39.0846,-0.6031,-5.3087
0.300000,4,3,28284.271,56568.542,53.9965,1,180.4232,38.0487,-1.5325,-6.3548
0.300000,4,4,56568.542,56568.542,53.9965,1,180.3261,36.1905,-3.2937,-7.8458
0.400000,0,0,-56568.542,-56568.542,54.0343,1,180.1876,35.2374,-4.1082,-8.7237
0.400000,0,1,-28284.271,-56568.542,54.0343,1,180.0075,36.4038,-2.7618,-7.1965
0.400000,0,2,0.000,-56568.542,54.0343,1,179.8762,37.7741,-1.2601,-5.3135
0.400000,0,3,28284.271,-56568.542,54.0343,1,179.7544,34.6248,-4.2876,-8.3765
0.400000,0,4,56568.542,-56568.542,54.0343,1,179.6430,32.2929,-6.5081,-9.5891
0.400000,1,0,-56568.542,-28284.271,54.0343,1,180.3208,45.5763,6.0975,-5.2789
0.400000,1,1,-28284.271,-28284.271,54.0343,1,180.1847,45.2303,5.8875,-6.6874
0.400000,1,2,0.000,-28284.271,54.0343,1,180.0173,46.0572,6.8819,-5.5326
