time_s,elevation_deg,user_id,beam_id,path_loss_dB,sinr_dB,snr_dB,beam_gain_dB
73.000000000,5.027630662,0,9,193.255752551,-12.097268364,-4.701326954,47.712463990
73.000000000,5.027630662,1,9,193.250764283,-12.096369563,-4.696338906,47.712463770
73.000000000,5.027630662,2,9,193.253258112,-12.096885934,-4.698958023,47.712338483
73.000000000,5.027630662,3,9,193.258249260,-12.097785718,-4.703949116,47.712338537
73.000000000,5.027630662,4,9,193.260746582,-12.098169166,-4.706321205,47.712463771
73.000000000,5.027630662,5,9,193.258249260,-12.097785718,-4.703949117,47.712338537
73.000000000,5.027630662,6,9,193.253258112,-12.096885934,-4.698958024,47.712338482
73.000000000,5.027630662,7,9,193.245781758,-12.095472756,-4.691357043,47.712463109
73.000000000,5.027630662,8,9,193.247116811,-12.095802514,-4.692859235,47.712295969
73.000000000,5.027630662,9,9,193.250765940,-12.096638481,-4.696842488,47.711961845
73.000000000,5.027630662,10,9,193.255754764,-12.097626836,-4.701998112,47.711795045
73.000000000,5.027630662,11,9,193.260748243,-12.098437952,-4.706824354,47.711962282
73.000000000,5.027630662,12,9,193.264406685,-12.098919448,-4.710148854,47.712296224
73.000000000,5.027630662,13,9,193.265746394,-12.099071975,-4.711321674,47.712463114
73.000000000,5.027630662,14,9,193.264406685,-12.098919449,-4.710148854,47.712296223
73.000000000,5.027630662,15,9,193.260748243,-12.098437952,-4.706824356,47.711962281
73.000000000,5.027630662,16,9,193.255754764,-12.097626837,-4.701998113,47.711795044
73.000000000,5.027630662,17,9,193.250765940,-12.096638482,-4.696842489,47.711961845
73.000000000,5.027630662,18,9,193.247116811,-12.095802514,-4.692859236,47.712295969
73.000000000,5.027630662,19,9,193.240804959,-12.094577936,-4.686381348,47.712462004
73.000000000,5.027630662,20,9,193.241705530,-12.094834095,-4.687457966,47.712285957
73.000000000,5.027630662,21,9,193.244299462,-12.095539213,-4.690497533,47.711840323
73.000000000,5.027630662,22,9,193.248276032,-12.096526069,-4.694980523,47.711333902
73.000000000,5.027630662,23,9,193.253158048,-12.097582261,-4.700192609,47.711003832
73.000000000,5.027630662,24,9,193.258358274,-12.098519552,-4.705392174,47.711004493
73.000000000,5.027630662,25,9,193.263249503,-12.099225031,-4.709952521,47.711335376
73.000000000,5.027630662,26,9,193.267240187,-12.099674586,-4.713437008,47.711841573
73.000000000,5.027630662,27,9,193.269846532,-12.099907229,-4.715598524,47.712286402
73.000000000,5.027630662,28,9,193.270752005,-12.099976799,-4.716328378,47.712462020
73.000000000,5.027630662,29,9,193.269846532,-12.099907230,-4.715598525,47.712286401
73.000000000,5.027630662,30,9,193.267240187,-12.099674587,-4.713437009,47.711841571
73.000000000,5.027630662,31,9,193.263249503,-12.099225032,-4.709952523,47.711335374
73.000000000,5.027630662,32,9,193.258358274,-12.098519554,-4.705392176,47.711004491
73.000000000,5.027630662,33,9,193.253158048,-12.097582262,-4.700192610,47.711003831
73.000000000,5.027630662,34,9,193.248276032,-12.096526070,-4.694980524,47.711333901
73.000000000,5.027630662,35,9,193.244299462,-12.095539214,-4.690497533,47.711840322
73.000000000,5.027630662,36,9,193.241705530,-12.094834096,-4.687457967,47.712285956
74.000000000,5.104821973,0,9,193.186984607,-12.078868117,-4.632559010,47.712463990
74.000000000,5.104821973,1,9,193.182074505,-12.077994094,-4.627649136,47.712463762
74.000000000,5.104821973,2,9,193.184529277,-12.078498575,-4.630229937,47.712337734
74.000000000,5.104821973,3,9,193.189442135,-12.079373537,-4.635142740,47.712337789
74.000000000,5.104821973,4,9,193.191900224,-12.079744053,-4.637474855,47.712463763
