time_s,sat_x_m,sat_y_m,sat_z_m,elevation_deg
0.000000000,2829346.214233954,0.000000000,0.000000000,0.000000000
1.000000000,2822435.247495783,0.000000000,3064.658731774,0.062212921
2.000000000,2815520.961221709,0.000000000,6121.820768455,0.124578700
3.000000000,2808603.363543798,0.000000000,9171.482514436,0.187098463
4.000000000,2801682.462598005,0.000000000,12213.640382936,0.249773350
5.000000000,2794758.266524174,0.000000000,15248.290795997,0.312604510
6.000000000,2787830.783466022,0.000000000,18275.430184492,0.375593105
7.000000000,2780900.021571134,0.000000000,21295.054988127,0.438740306
8.000000000,2773965.988990952,0.000000000,24307.161655447,0.502047299
9.000000000,2767028.693880761,0.000000000,27311.746643839,0.565515277
10.000000000,2760088.144399685,0.000000000,30308.806419536,0.629145449
11.000000000,2753144.348710678,0.000000000,33298.337457621,0.692939033
12.000000000,2746197.314980509,0.000000000,36280.336242035,0.756897260
13.000000000,2739247.051379757,0.000000000,39254.799265573,0.821021374
14.000000000,2732293.566082795,0.000000000,42221.723029897,0.885312631
15.000000000,2725336.867267794,0.000000000,45181.104045534,0.949772298
16.000000000,2718376.963116698,0.000000000,48132.938831883,1.014401657
17.000000000,2711413.861815220,0.000000000,51077.223917218,1.079202000
18.000000000,2704447.571552839,0.000000000,54013.955838691,1.144174634
19.000000000,2697478.100522780,0.000000000,56943.131142342,1.209320879
20.000000000,2690505.456922010,0.000000000,59864.746383093,1.274642067
21.000000000,2683529.648951226,0.000000000,62778.798124762,1.340139545
22.000000000,2676550.684814852,0.000000000,65685.282940059,1.405814673
23.000000000,2669568.572721019,0.000000000,68584.197410595,1.471668824
24.000000000,2662583.320881560,0.000000000,71475.538126888,1.537703386
25.000000000,2655594.937512002,0.000000000,74359.301688357,1.603919760
26.000000000,2648603.430831559,0.000000000,77235.484703338,1.670319362
27.000000000,2641608.809063113,0.000000000,80104.083789081,1.736903623
28.000000000,2634611.080433212,0.000000000,82965.095571755,1.803673988
29.000000000,2627610.253172055,0.000000000,85818.516686456,1.870631916
30.000000000,2620606.335513493,0.000000000,88664.343777201,1.937778882
31.000000000,2613599.335695003,0.000000000,91502.573496945,2.005116377
32.000000000,2606589.261957691,0.000000000,94333.202507576,2.072645906
33.000000000,2599576.122546281,0.000000000,97156.227479918,2.140368989
34.000000000,2592559.925709097,0.000000000,99971.645093744,2.208287164
35.000000000,2585540.679698064,0.000000000,102779.452037772,2.276401984
36.000000000,2578518.392768687,0.000000000,105579.645009670,2.344715017
37.000000000,2571493.073180054,0.000000000,108372.220716063,2.413227850
38.000000000,2564464.729194818,0.000000000,111157.175872532,2.481942083
39.000000000,2557433.369079187,0.000000000,113934.507203622,2.550859335
40.000000000,2550399.001102916,0.000000000,116704.211442847,2.619981244
41.000000000,2543361.633539302,0.000000000,119466.285332687,2.689309461
42.000000000,2536321.274665166,0.000000000,122220.725624601,2.758845658
43.000000000,2529277.932760847,0.000000000,124967.529079022,2.828591522
44.000000000,2522231.616110194,0.000000000,127706.692465368,2.898548761
45.000000000,2515182.333000556,0.000000000,130438.212562039,2.968719097
46.000000000,2508130.091722768,0.000000000,133162.086156428,3.039104275
47.000000000,2501074.900571144,0.000000000,135878.310044920,3.109706056
48.000000000,2494016.767843472,0.000000000,138586.881032897,3.180526220
49.000000000,2486955.701840994,0.000000000,141287.795934740,3.251566566
50.000000000,2479891.710868406,0.000000000,143981.051573840,3.322828914
51.000000000,2472824.803233840,0.000000000,146666.644782588,3.394315102
52.000000000,2465754.987248863,0.000000000,149344.572402394,3.466026989
53.000000000,2458682.271228461,0.000000000,152014.831283680,3.537966453
54.000000000,2451606.663491028,0.000000000,154677.418285890,3.610135393
55.000000000,2444528.172358362,0.000000000,157332.330277488,3.682535729
56.000000000,2437446.806155652,0.000000000,159979.564135966,3.755169402
57.000000000,2430362.573211469,0.000000000,162619.116747848,3.828038375
58.000000000,2423275.481857753,0.000000000,165250.985008691,3.901144629
59.000000000,2416185.540429806,0.000000000,167875.165823089,3.974490172
60.000000000,2409092.757266288,0.000000000,170491.656104677,4.048077031
61.000000000,2401997.140709192,0.000000000,173100.452776139,4.121907255
62.000000000,2394898.699103850,0.000000000,175701.552769202,4.195982917
63.000000000,2387797.440798916,0.000000000,178294.953024649,4.270306114
64.000000000,2380693.374146355,0.000000000,180880.650492318,4.344878964
65.000000000,2373586.507501434,0.000000000,183458.642131106,4.419703611
66.000000000,2366476.849222715,0.000000000,186028.924908974,4.494782220
67.000000000,2359364.407672044,0.000000000,188591.495802947,4.570116984
68.000000000,2352249.191214539,0.000000000,191146.351799124,4.645710118
69.000000000,2345131.208218582,0.000000000,193693.489892674,4.721563862
70.000000000,2338010.467055807,0.000000000,196232.907087847,4.797680484
71.000000000,2330886.976101098,0.000000000,198764.600397969,4.874062275
72.000000000,2323760.743732566,0.000000000,201288.566845454,4.950711553
73.000000000,2316631.778331549,0.000000000,203804.803461803,5.027630662
74.000000000,2309500.088282600,0.000000000,206313.307287609,5.104821973
75.000000000,2302365.681973476,0.000000000,208814.075372556,5.182287885
76.000000000,2295228.567795130,0.000000000,211307.104775431,5.260030823
77.000000000,2288088.754141696,0.000000000,213792.392564120,5.338053242
78.000000000,2280946.249410488,0.000000000,216269.935815613,5.416357622
79.000000000,2273801.062001982,0.000000000,218739.731616012,5.494946475
80.000000000,2266653.200319808,0.000000000,221201.777060527,5.573822341
81.000000000,2259502.672770743,0.000000000,223656.069253488,5.652987788
82.000000000,2252349.487764701,0.000000000,226102.605308340,5.732445416
83.000000000,2245193.653714720,0.000000000,228541.382347651,5.812197855
84.000000000,2238035.179036952,0.000000000,230972.397503115,5.892247766
85.000000000,2230874.072150655,0.000000000,233395.647915557,5.972597838
86.000000000,2223710.341478186,0.000000000,235811.130734930,6.053250797
87.000000000,2216543.995444987,0.000000000,238218.843120325,6.134209397
88.000000000,2209375.042479572,0.000000000,240618.782239974,6.215476426
89.000000000,2202203.491013523,0.000000000,243010.945271247,6.297054705
90.000000000,2195029.349481483,0.000000000,245395.329400662,6.378947090
91.000000000,2187852.626321136,0.000000000,247771.931823887,6.461156467
92.000000000,2180673.329973201,0.000000000,250140.749745741,6.543685761
93.000000000,2173491.468881429,0.000000000,252501.780380198,6.626537930
94.000000000,2166307.051492584,0.000000000,254855.020950391,6.709715966
95.000000000,2159120.086256437,0.000000000,257200.468688617,6.793222900
96.000000000,2151930.581625752,0.000000000,259538.120836336,6.877061798
97.000000000,2144738.546056288,0.000000000,261867.974644179,6.961235763
98.000000000,2137543.988006774,0.000000000,264190.027371944,7.045747935
99.000000000,2130346.915938908,0.000000000,266504.276288610,7.130601494
