time_s,sat_x_m,sat_y_m,sat_z_m,elevation_deg
0.000000000,2829346.214233954,0.000000000,0.000000000,0.000000000
0.100000000,2828655.267170936,0.000000000,306.803121800,0.006214445
0.200000000,2827964.286839399,0.000000000,613.531309077,0.012430409
0.300000000,2827273.273247473,0.000000000,920.184558224,0.018647893
0.400000000,2826582.226403283,0.000000000,1226.762865636,0.024866897
0.500000000,2825891.146314958,0.000000000,1533.266227704,0.031087424
0.600000000,2825200.032990623,0.000000000,1839.694640826,0.037309473
0.700000000,2824508.886438411,0.000000000,2146.048101397,0.043533046
0.800000000,2823817.706666447,0.000000000,2452.326605813,0.049758144
0.900000000,2823126.493682861,0.000000000,2758.530150473,0.055984769
1.000000000,2822435.247495783,0.000000000,3064.658731774,0.062212921
1.100000000,2821743.968113342,0.000000000,3370.712346119,0.068442602
1.200000000,2821052.655543671,0.000000000,3676.690989905,0.074673812
1.300000000,2820361.309794897,0.000000000,3982.594659535,0.080906554
1.400000000,2819669.930875154,0.000000000,4288.423351410,0.087140827
1.500000000,2818978.518792572,0.000000000,4594.177061934,0.093376633
1.600000000,2818287.073555282,0.000000000,4899.855787511,0.099613974
1.700000000,2817595.595171419,0.000000000,5205.459524545,0.105852849
1.800000000,2816904.083649113,0.000000000,5510.988269443,0.112093261
1.900000000,2816212.538996500,0.000000000,5816.442018610,0.118335211
2.000000000,2815520.961221709,0.000000000,6121.820768455,0.124578700
2.100000000,2814829.350332879,0.000000000,6427.124515385,0.130823728
2.200000000,2814137.706338141,0.000000000,6732.353255811,0.137070297
2.300000000,2813446.029245629,0.000000000,7037.506986143,0.143318409
2.400000000,2812754.319063480,0.000000000,7342.585702789,0.149568063
2.500000000,2812062.575799827,0.000000000,7647.589402164,0.155819262
2.600000000,2811370.799462809,0.000000000,7952.518080680,0.162072007
2.700000000,2810678.990060560,0.000000000,8257.371734750,0.168326298
2.800000000,2809987.147601217,0.000000000,8562.150360788,0.174582137
2.900000000,2809295.272092918,0.000000000,8866.853955212,0.180839525
3.000000000,2808603.363543798,0.000000000,9171.482514436,0.187098463
3.100000000,2807911.421961997,0.000000000,9476.036034878,0.193358952
3.200000000,2807219.447355651,0.000000000,9780.514512957,0.199620994
3.300000000,2806527.439732900,0.000000000,10084.917945090,0.205884589
3.400000000,2805835.399101882,0.000000000,10389.246327697,0.212149739
3.500000000,2805143.325470737,0.000000000,10693.499657202,0.218416444
3.600000000,2804451.218847605,0.000000000,10997.677930021,0.224684707
3.700000000,2803759.079240624,0.000000000,11301.781142581,0.230954527
3.800000000,2803066.906657938,0.000000000,11605.809291303,0.237225907
3.900000000,2802374.701107684,0.000000000,11909.762372614,0.243498848
4.000000000,2801682.462598005,0.000000000,12213.640382936,0.249773350
4.100000000,2800990.191137044,0.000000000,12517.443318697,0.256049414
4.200000000,2800297.886732938,0.000000000,12821.171176323,0.262327043
4.300000000,2799605.549393836,0.000000000,13124.823952241,0.268606236
4.400000000,2798913.179127875,0.000000000,13428.401642882,0.274886996
4.500000000,2798220.775943203,0.000000000,13731.904244674,0.281169323
4.600000000,2797528.339847959,0.000000000,14035.331754047,0.287453219
4.700000000,2796835.870850291,0.000000000,14338.684167434,0.293738684
4.800000000,2796143.368958341,0.000000000,14641.961481265,0.300025720
4.900000000,2795450.834180253,0.000000000,14945.163691975,0.306314329
5.000000000,2794758.266524174,0.000000000,15248.290795997,0.312604510
5.100000000,2794065.665998248,0.000000000,15551.342789766,0.318896266
5.200000000,2793373.032610622,0.000000000,15854.319669718,0.325189597
5.300000000,2792680.366369441,0.000000000,16157.221432289,0.331484505
5.400000000,2791987.667282853,0.000000000,16460.048073917,0.337780990
5.500000000,2791294.935359005,0.000000000,16762.799591040,0.344079055
5.600000000,2790602.170606042,0.000000000,17065.475980098,0.350378700
5.700000000,2789909.373032115,0.000000000,17368.077237531,0.356679926
5.800000000,2789216.542645369,0.000000000,17670.603359780,0.362982735
5.900000000,2788523.679453956,0.000000000,17973.054343285,0.369287127
6.000000000,2787830.783466022,0.000000000,18275.430184492,0.375593105
6.100000000,2787137.854689718,0.000000000,18577.730879842,0.381900668
6.200000000,2786444.893133194,0.000000000,18879.956425781,0.388209819
6.300000000,2785751.898804597,0.000000000,19182.106818755,0.394520558
6.400000000,2785058.871712082,0.000000000,19484.182055208,0.400832887
6.500000000,2784365.811863795,0.000000000,19786.182131590,0.407146806
6.600000000,2783672.719267893,0.000000000,20088.107044348,0.413462317
6.700000000,2782979.593932522,0.000000000,20389.956789929,0.419779422
