slotIdx,startMs,durationMs,beamIds,beamPatterns,modcod,clusterIds
0,0,10,1;2,1:SMALL;2:LARGE,5,1;2
1,10,10,2;1,2:SMALL;1:LARGE,5,2;1
2,20,10,1;2,1:SMALL;2:LARGE,5,1;2
3,30,10,2;1,2:SMALL;1:LARGE,5,2;1
4,40,10,1;2,1:SMALL;2:LARGE,5,1;2
5,50,10,2;1,2:SMALL;1:LARGE,5,2;1
6,60,10,1;2,1:SMALL;2:LARGE,5,1;2
7,70,10,2;1,2:SMALL;1:LARGE,5,2;1
